bin,set,NP_NP,Normal_1stT,Normal_2ndT,Normal_3rdT,Normal_delivery,PreX_1stT,PreX_2ndT,PreX_3rdT,PreX_delivery,GDM_1stT,GDM_2ndT,GDM_3rdT,GDM_delivery,cHTN_1stT,cHTN_2ndT,cHTN_3rdT,cHTN_delivery
5,B-cells,0.932773109243698,0.858895705521472,0.867132867132867,0.852320675105485,0.872093023255814,0.918518518518519,0.861386138613861,0.822784810126582,0.813253012048193,0.893048128342246,0.93010752688172,0.802547770700637,0.83987915407855,0.8,0.925,0.85,0.842105263157895
13,Placenta-HIGH,0.40809968847352,0.338345864661654,0.392670157068063,0.416040100250627,0.403125,0.333333333333333,0.392156862745098,0.376811594202899,0.355329949238579,0.322368421052632,0.298412698412698,0.345724907063197,0.38747553816047,0.36,0.449438202247191,0.395833333333333,0.446428571428571
16,B-cells,0.0256410256410256,0.0555555555555556,0.0894308943089431,0.0242424242424242,0.0512820512820513,0.125984251968504,0.0305343511450382,0.0535714285714286,0.0789473684210526,0.0454545454545455,0.018348623853211,0.0559006211180124,0.093167701863354,0.0444444444444444,0.0816326530612245,0.0882352941176471,0.0983606557377049
27,T-cells,0.141868512110727,0.441176470588235,0.341614906832298,0.42798353909465,0.398148148148148,0.30622009569378,0.246666666666667,0.128865979381443,0.198412698412698,0.295,0.161157024793388,0.263888888888889,0.360902255639098,0.6,0.356164383561644,0.618181818181818,0.612903225806452
31,Placenta-HIGH,0.0967741935483871,0.0512820512820513,0.177304964539007,0.14375,0.23444976076555,0.089041095890411,0.108108108108108,0.316939890710383,0.181184668989547,0.0916030534351145,0.171232876712329,0.367647058823529,0.397058823529412,0.0851063829787234,0,0.372549019607843,0.5
50,Neutrophils,0.653846153846154,0.781818181818182,0.7,0.616666666666667,0.634615384615385,0.520547945205479,0.637931034482759,,0.658914728682171,0.4375,0.735294117647059,0.621052631578947,0.694214876033058,,,,
51,Placenta-HIGH,0.120879120879121,0.117647058823529,0.130630630630631,0.167364016736402,0.232484076433121,0.0512820512820513,0.134228187919463,0.252525252525253,0.11228813559322,0.176923076923077,0.149532710280374,0.286885245901639,0.207852193995381,0.0833333333333333,0.0697674418604651,0.196078431372549,0.121951219512195
56,B-cells,0.848101265822785,0.807692307692308,0.824561403508772,0.654135338345865,0.52755905511811,0.864406779661017,0.806122448979592,0.815533980582524,0.683417085427136,0.794117647058824,0.657142857142857,0.653465346534654,0.664383561643836,,,0.633333333333333,0.839285714285714
57,Placenta-HIGH,0.2,0.26056338028169,0.238805970149254,0.1625,0.279761904761905,0.219047619047619,0.432432432432432,0.306569343065693,0.298804780876494,0.206611570247934,0.161849710982659,0.285714285714286,0.238683127572016,0.121212121212121,0.0714285714285714,0.183333333333333,0.113636363636364
78,B-cells,0.761194029850746,0.768292682926829,0.8,0.883116883116883,0.858407079646018,0.898305084745763,0.902439024390244,0.794520547945206,0.816176470588235,0.9125,0.786666666666667,0.869565217391304,0.87719298245614,,0.875,,0.866666666666667
85,Neutrophils,0.430769230769231,0.555555555555556,0.524590163934426,0.622222222222222,0.584158415841584,0.534246575342466,0.319444444444444,0.416666666666667,0.417582417582418,,0.5,0.492957746478873,0.62280701754386,,0.457142857142857,,0.636363636363636
86,B-cells,0.908333333333333,0.823529411764706,0.900900900900901,0.85625,0.851851851851852,0.782894736842105,0.813084112149533,0.846715328467153,0.838565022421525,0.876923076923077,0.851190476190476,0.843137254901961,0.783673469387755,0.870967741935484,0.895833333333333,,
99,Placenta-HIGH,0.198473282442748,0.191304347826087,0.225352112676056,0.248062015503876,0.353846153846154,0.0416666666666667,0.140350877192982,0.393258426966292,0.176470588235294,0.32,0.283018867924528,0.429906542056075,0.305555555555556,,0.1,,0.46875
