cell,delta_f,stage,r2,ci_lo,ci_hi,group
N,0.0256701559075692,1stT,0.955937689627768,-0.029609332566119,0.0883706336328947,GDM
N,-0.0352571719549794,2ndT,0.999928853019356,-0.0742603226789186,0.0148797235798841,GDM
N,-0.125459760250071,3rdT,0.962696206787527,-0.169432732327136,-0.0815136263244411,GDM
N,-0.0827716044370023,delivery,0.890856167873733,-0.137077858380889,-0.0285615780510953,GDM
Placenta,0.118917381583156,1stT,0.955937689627768,0.0906981502927901,0.149164373104495,GDM
Placenta,0.121895749208992,2ndT,0.999928853019356,0.0980453160294466,0.144501357041242,GDM
Placenta,0.326532307988548,3rdT,0.962696206787527,0.298934905979405,0.357067568743533,GDM
Placenta,0.326459391247041,delivery,0.890856167873733,0.293554362859986,0.362066797102701,GDM
T,-0.111543113698142,1stT,0.955937689627768,-0.176505474184376,-0.0516996546869606,GDM
T,-0.092596272060868,2ndT,0.999928853019356,-0.151267072612237,-0.0386461993556605,GDM
T,-0.122795726556703,3rdT,0.962696206787527,-0.178080781838403,-0.0515523454184663,GDM
T,-0.170466307831685,delivery,0.890856167873733,-0.245398605607009,-0.107060086436829,GDM
N,0.0700952672909552,1stT,0.50904589654498,0.0136692061116136,0.137630119412283,Normal
N,0.0684124139915252,2ndT,0.844421666551817,0.0197938931185578,0.121615383879047,Normal
N,-0.0766510807338194,3rdT,0.912951962355067,-0.129899541544681,-0.0156491425799744,Normal
N,-0.0587105464138393,delivery,0.876067185670425,-0.106269299697211,-0.00787316837869828,Normal
Placenta,0.0428202745490138,1stT,0.50904589654498,0.0154279494912464,0.0739703419535511,Normal
Placenta,0.0341900815993511,2ndT,0.844421666551817,0.00639119040002233,0.0583154173640596,Normal
Placenta,0.230045563982724,3rdT,0.912951962355067,0.204240891276152,0.261207709378763,Normal
Placenta,0.259032843732747,delivery,0.876067185670425,0.231228893854727,0.292230728347371,Normal
T,-0.0678048270051143,1stT,0.50904589654498,-0.1376712402065,-0.00413305381155563,Normal
T,-0.0297217955115515,2ndT,0.844421666551817,-0.100046646881881,0.051443418258645,Normal
T,-0.100913379648969,3rdT,0.912951962355067,-0.161259263574829,-0.0338996393506611,Normal
T,-0.156297928024395,delivery,0.876067185670425,-0.234419913693377,-0.0934517649845939,Normal
N,0.139628012180312,1stT,0.811574902145896,0.0866615658836852,0.194683213815369,PreX
N,0.0948965920442305,2ndT,0.687118201951681,0.0415615584650321,0.151913272275888,PreX
N,-0.0484334403799921,3rdT,0.945893531424766,-0.10903404639114,0.00363373430605816,PreX
N,0.00477734056904522,delivery,0.871849449867491,-0.0440193334412252,0.0510769556702123,PreX
Placenta,0.0246353573054344,1stT,0.811574902145896,0.000177808430403408,0.051653736832235,PreX
Placenta,0.0590219661432013,2ndT,0.687118201951681,0.0322944195451369,0.0880586212633738,PreX
Placenta,0.23757492160545,3rdT,0.945893531424766,0.208522448683723,0.265235836818102,PreX
Placenta,0.132937337210647,delivery,0.871849449867491,0.113206529498009,0.159809214479986,PreX
T,-0.109960990314449,1stT,0.811574902145896,-0.184474498091224,-0.0426170021920458,PreX
T,-0.117365823898014,2ndT,0.687118201951681,-0.18543354758522,-0.0572521210715017,PreX
T,-0.147444431421641,3rdT,0.945893531424766,-0.217725514799452,-0.0868490025263495,PreX
T,-0.123912743006795,delivery,0.871849449867491,-0.178528549374405,-0.0797830403191502,PreX
N,0.0971642107214274,1stT,0.198001078440718,-0.0326740562543858,0.214802727448213,cHTN
N,0.0460971093690147,2ndT,0.218257127789792,-0.0409361401371554,0.138093837540749,cHTN
N,-0.0282782790278978,3rdT,0.596246937401974,-0.124533163646714,0.0531401209964136,cHTN
N,-0.125534220176416,delivery,0.861212646195565,-0.210674648930726,-0.0486393532586104,cHTN
Placenta,0.00583242872993196,1stT,0.198001078440718,-0.0493119035184153,0.0642962955485731,cHTN
Placenta,0.035407195094515,2ndT,0.218257127789792,-0.0105485984872105,0.0935188783203544,cHTN
Placenta,0.203594844521205,3rdT,0.596246937401974,0.150828346353006,0.262198115106033,cHTN
Placenta,0.343569985488071,delivery,0.861212646195565,0.297665819748301,0.391784837961579,cHTN
T,-0.142994376390708,1stT,0.198001078440718,-0.296852189440962,-0.0269968822658614,cHTN
T,-0.0762610427820798,2ndT,0.218257127789792,-0.23833129384665,0.0686134662762309,cHTN
T,-0.136778954067217,3rdT,0.596246937401974,-0.281205114533249,0.00845524059325406,cHTN
T,-0.134676233810119,delivery,0.861212646195565,-0.26749082411333,-0.0175119753773276,cHTN
