cell,diff,stage,ci_lo,ci_hi,contrast,group
N,-0.044425111383386,1stT,-0.107307513204592,0.0225999475715981,GDM_vs_Normal,GDM
N,-0.103669585946505,2ndT,-0.153546998441162,-0.059764022113663,GDM_vs_Normal,GDM
N,-0.0488086795162511,3rdT,-0.0874466944570507,-0.00300303332415006,GDM_vs_Normal,GDM
N,-0.0240610580231631,delivery,-0.0678188920996197,0.0231859720917552,GDM_vs_Normal,GDM
Placenta,0.0760971070341422,1stT,0.0446092890720847,0.105362288326709,GDM_vs_Normal,GDM
Placenta,0.0877056676096414,2ndT,0.0655309118686342,0.109752105105189,GDM_vs_Normal,GDM
Placenta,0.0964867440058233,3rdT,0.07110737576306,0.120685250626445,GDM_vs_Normal,GDM
Placenta,0.0674265475142945,delivery,0.0424585956710592,0.0925691187007495,GDM_vs_Normal,GDM
T,-0.0437382866930277,1stT,-0.107972971172421,0.0173032159605146,GDM_vs_Normal,GDM
T,-0.0628744765493166,2ndT,-0.130891071041109,-0.0103928499126643,GDM_vs_Normal,GDM
T,-0.0218823469077342,3rdT,-0.0789927211036436,0.0441992484914816,GDM_vs_Normal,GDM
T,-0.0141683798072903,delivery,-0.063712089465706,0.0319582442038057,GDM_vs_Normal,GDM
N,0.0695327448893569,1stT,0.0117916658071058,0.129359362866511,PreX_vs_Normal,PreX
N,0.0264841780527053,2ndT,-0.0443043386011551,0.085063997031864,PreX_vs_Normal,PreX
N,0.0282176403538273,3rdT,-0.0250977482347902,0.0799113011034916,PreX_vs_Normal,PreX
N,0.0634878869828845,delivery,0.0238161146420333,0.0978412269822057,PreX_vs_Normal,PreX
Placenta,-0.0181849172435793,1stT,-0.0412368246701903,0.00643725830271981,PreX_vs_Normal,PreX
Placenta,0.0248318845438502,2ndT,0.00113524567536618,0.057405094938187,PreX_vs_Normal,PreX
Placenta,0.00752935762272586,3rdT,-0.0169893833302216,0.0357937014871863,PreX_vs_Normal,PreX
Placenta,-0.1260955065221,delivery,-0.15048489131261,-0.102993646096861,PreX_vs_Normal,PreX
T,-0.0421561633093349,1stT,-0.108160261724815,0.0268305057166512,PreX_vs_Normal,PreX
T,-0.0876440283864627,2ndT,-0.164897861863366,-0.0184094430624166,PreX_vs_Normal,PreX
T,-0.046531051772672,3rdT,-0.114633839021306,0.00971415939915793,PreX_vs_Normal,PreX
T,0.0323851850176003,delivery,-0.0127575856878987,0.0803900772707317,PreX_vs_Normal,PreX
N,0.0270689434304722,1stT,-0.0729362539223561,0.147100219521085,cHTN_vs_Normal,cHTN
N,-0.0223153046225105,2ndT,-0.122950484090348,0.0701599112348224,cHTN_vs_Normal,cHTN
N,0.0483728017059216,3rdT,-0.0519525854972823,0.137121660560215,cHTN_vs_Normal,cHTN
N,-0.0668236737625771,delivery,-0.140417743287126,0.00640009180560728,cHTN_vs_Normal,cHTN
Placenta,-0.0369878458190818,1stT,-0.08410985096894,0.0194614038327441,cHTN_vs_Normal,cHTN
Placenta,0.00121711349516387,2ndT,-0.0468502484694118,0.048467865418152,cHTN_vs_Normal,cHTN
Placenta,-0.0264507194615193,3rdT,-0.0727361895005841,0.0184325697338575,cHTN_vs_Normal,cHTN
Placenta,0.0845371417553241,delivery,0.0439387496756155,0.124871544870476,cHTN_vs_Normal,cHTN
T,-0.0751895493855941,1stT,-0.229558347974805,0.0412402303751491,cHTN_vs_Normal,cHTN
T,-0.0465392472705283,2ndT,-0.167285664440938,0.0991170067412144,cHTN_vs_Normal,cHTN
T,-0.0358655744182483,3rdT,-0.170354450098844,0.0929719426053658,cHTN_vs_Normal,cHTN
T,0.0216216942142758,delivery,-0.0694416419969622,0.112393769460658,cHTN_vs_Normal,cHTN
