cell,dmr,rho,p,p_bh
B,hyper,-0.00320512820512821,0.980031563337006,0.990948820266358
B,hypo,0.0713369963369963,0.574495251147992,0.979609912477387
NK,hyper,0.0027014652014652,0.983191533078091,0.990948820266358
NK,hypo,0.0490384615384615,0.699721366055276,0.979609912477387
CD4T,hyper,0.0563644688644689,0.657470544733262,0.979609912477387
CD4T,hypo,0.143406593406593,0.257571544894666,0.702400506603385
CD8T,hyper,-0.204304029304029,0.105318620405353,0.702400506603385
CD8T,hypo,0.320787545787546,0.0100338197317263,0.140473476244168
Mono,hyper,-0.131089743589744,0.301028788544308,0.702400506603385
Mono,hypo,0.162087912087912,0.200174166763689,0.702400506603385
Neutro,hyper,0.132692307692308,0.295118236395336,0.702400506603385
Neutro,hypo,-0.0126831501831502,0.920677816719939,0.990948820266358
Eosino,hyper,0.00146520146520147,0.990948820266358,0.990948820266358
Eosino,hypo,0.0915750915750916,0.470772895147722,0.941545790295445
