variable,label,n,threshold,pos_rate,tp_rate,fp_rate,harm,net_benefit
all,Treat All,64,0.05,0.5,0.5,0.5,0,0.473684210526316
all,Treat All,64,0.1,0.5,0.5,0.5,0,0.444444444444444
all,Treat All,64,0.15,0.5,0.5,0.5,0,0.411764705882353
all,Treat All,64,0.2,0.5,0.5,0.5,0,0.375
all,Treat All,64,0.25,0.5,0.5,0.5,0,0.333333333333333
all,Treat All,64,0.3,0.5,0.5,0.5,0,0.285714285714286
all,Treat All,64,0.35,0.5,0.5,0.5,0,0.230769230769231
all,Treat All,64,0.4,0.5,0.5,0.5,0,0.166666666666667
all,Treat All,64,0.45,0.5,0.5,0.5,0,0.0909090909090909
all,Treat All,64,0.5,0.5,0.5,0.5,0,0
all,Treat All,64,0.55,0.5,0.5,0.5,0,-0.111111111111111
all,Treat All,64,0.6,0.5,0.5,0.5,0,-0.25
all,Treat All,64,0.65,0.5,0.5,0.5,0,-0.428571428571429
all,Treat All,64,0.7,0.5,0.5,0.5,0,-0.666666666666667
all,Treat All,64,0.75,0.5,0.5,0.5,0,-1
all,Treat All,64,0.8,0.5,0.5,0.5,0,-1.5
all,Treat All,64,0.85,0.5,0.5,0.5,0,-2.33333333333334
all,Treat All,64,0.9,0.5,0.5,0.5,0,-4.00000000000001
all,Treat All,64,0.95,0.5,0.5,0.5,0,-8.99999999999999
none,Treat None,64,0.05,0.5,0,0,0,0
none,Treat None,64,0.1,0.5,0,0,0,0
none,Treat None,64,0.15,0.5,0,0,0,0
none,Treat None,64,0.2,0.5,0,0,0,0
none,Treat None,64,0.25,0.5,0,0,0,0
none,Treat None,64,0.3,0.5,0,0,0,0
none,Treat None,64,0.35,0.5,0,0,0,0
none,Treat None,64,0.4,0.5,0,0,0,0
none,Treat None,64,0.45,0.5,0,0,0,0
none,Treat None,64,0.5,0.5,0,0,0,0
none,Treat None,64,0.55,0.5,0,0,0,0
none,Treat None,64,0.6,0.5,0,0,0,0
none,Treat None,64,0.65,0.5,0,0,0,0
none,Treat None,64,0.7,0.5,0,0,0,0
none,Treat None,64,0.75,0.5,0,0,0,0
none,Treat None,64,0.8,0.5,0,0,0,0
none,Treat None,64,0.85,0.5,0,0,0,0
none,Treat None,64,0.9,0.5,0,0,0,0
none,Treat None,64,0.95,0.5,0,0,0,0
model,model,64,0.05,0.5,0.484375,0.34375,0,0.466282894736842
model,model,64,0.1,0.5,0.484375,0.265625,0,0.454861111111111
model,model,64,0.15,0.5,0.484375,0.25,0,0.440257352941176
model,model,64,0.2,0.5,0.484375,0.1875,0,0.4375
model,model,64,0.25,0.5,0.453125,0.171875,0,0.395833333333333
model,model,64,0.3,0.5,0.453125,0.15625,0,0.386160714285714
model,model,64,0.35,0.5,0.4375,0.125,0,0.370192307692308
model,model,64,0.4,0.5,0.4375,0.109375,0,0.364583333333333
model,model,64,0.45,0.5,0.421875,0.09375,0,0.345170454545455
model,model,64,0.5,0.5,0.421875,0.0625,0,0.359375
model,model,64,0.55,0.5,0.421875,0.03125,0,0.383680555555556
model,model,64,0.6,0.5,0.421875,0.015625,0,0.3984375
model,model,64,0.65,0.5,0.421875,0.015625,0,0.392857142857143
model,model,64,0.7,0.5,0.40625,0.015625,0,0.369791666666667
model,model,64,0.75,0.5,0.40625,0.015625,0,0.359375
model,model,64,0.8,0.5,0.390625,0.015625,0,0.328125
model,model,64,0.85,0.5,0.359375,0.015625,0,0.270833333333333
model,model,64,0.9,0.5,0.328125,0,0,0.328125
model,model,64,0.95,0.5,0.265625,0,0,0.265625
