set,go_id,term,n_term,n_hit,n_cand,n_univ,p,OR,p_bh
all,GO:0031125,rRNA 3'-end processing,11,2,155,35143,0.00103562780739244,41.7492572786442,0.157097874808924
all,GO:0010968,regulation of microtubule nucleation,17,2,155,35143,0.00251672314698998,27.009611687802,0.157097874808924
all,GO:0060260,regulation of transcription initiation by RNA polymerase II,71,3,155,35143,0.00386184083781111,9.74944403261585,0.157097874808924
all,GO:0072686,mitotic spindle,156,4,155,35143,0.00514525330599002,5.94107658346044,0.157097874808924
all,GO:2000142,regulation of DNA-templated transcription initiation,80,3,155,35143,0.0053936586436045,8.65041118420982,0.157097874808924
all,GO:0016072,rRNA metabolic process,259,5,155,35143,0.00596847293046578,4.48957528957518,0.157097874808924
all,GO:0000132,establishment of mitotic spindle orientation,28,2,155,35143,0.00677637980819559,16.3935574229654,0.157097874808924
all,GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",28,2,155,35143,0.00677637980819559,16.3935574229654,0.157097874808924
all,GO:0000803,sex chromosome,30,2,155,35143,0.00775342400626589,15.2997821350729,0.157097874808924
all,GO:0140142,nucleocytoplasmic carrier activity,32,2,155,35143,0.00878994297561284,14.342728758167,0.157097874808924
all,GO:0040001,establishment of mitotic spindle localization,33,2,155,35143,0.00933015843006991,13.907704495937,0.157097874808924
all,GO:0006367,transcription initiation at RNA polymerase II promoter,187,4,155,35143,0.00963234446070981,4.95180082869976,0.157097874808924
all,GO:0051294,establishment of spindle orientation,36,2,155,35143,0.0110369848011187,12.7476397966571,0.157097874808924
all,GO:0036503,ERAD pathway,104,3,155,35143,0.0110733874366389,6.64960779352185,0.157097874808924
all,GO:0071900,regulation of protein serine/threonine kinase activity,104,3,155,35143,0.0110733874366389,6.64960779352185,0.157097874808924
all,GO:1901798,positive regulation of signal transduction by p53 class mediator,37,2,155,35143,0.0116342022694579,12.4027556968712,0.157097874808924
all,GO:0097431,mitotic spindle pole,37,2,155,35143,0.0116342022694579,12.4027556968712,0.157097874808924
all,GO:0000460,maturation of 5.8S rRNA,38,2,155,35143,0.0122453340009139,12.0760233918108,0.157097874808924
all,GO:0051225,spindle assembly,112,3,155,35143,0.0135112137029701,6.17322603383422,0.157097874808924
all,GO:0009303,rRNA transcription,41,2,155,35143,0.0141608921553248,11.1914554439644,0.157097874808924
all,GO:0006364,rRNA processing,211,4,155,35143,0.0144587516105969,4.3855497316467,0.157097874808924
all,GO:0045859,regulation of protein kinase activity,211,4,155,35143,0.0144587516105969,4.3855497316467,0.157097874808924
all,GO:0030010,establishment of cell polarity,116,3,155,35143,0.0148355640638751,5.95967558983632,0.157097874808924
all,GO:0007020,microtubule nucleation,45,2,155,35143,0.0169018193649619,10.1954974582411,0.157097874808924
all,GO:0071364,cellular response to epidermal growth factor stimulus,45,2,155,35143,0.0169018193649619,10.1954974582411,0.157097874808924
all,GO:0002020,protease binding,123,3,155,35143,0.0173240775456268,5.6193838254169,0.157097874808924
all,GO:0000228,nuclear chromosome,223,4,155,35143,0.0173562247559432,4.14813054969845,0.157097874808924
all,GO:0001221,transcription coregulator binding,124,3,155,35143,0.0176974216695841,5.57390704584011,0.157097874808924
all,GO:0022613,ribonucleoprotein complex biogenesis,475,6,155,35143,0.0191711288777828,2.93900388555277,0.157097874808924
all,GO:0006368,transcription elongation by RNA polymerase II,129,3,155,35143,0.019631305579568,5.35709914320658,0.157097874808924
all,GO:0043549,regulation of kinase activity,232,4,155,35143,0.0197509967369014,3.98618406028762,0.157097874808924
all,GO:0006611,protein export from nucleus,49,2,155,35143,0.0198487982331911,9.36214485794193,0.157097874808924
all,GO:0070849,response to epidermal growth factor,49,2,155,35143,0.0198487982331911,9.36214485794193,0.157097874808924
all,GO:0001222,transcription corepressor binding,49,2,155,35143,0.0198487982331911,9.36214485794193,0.157097874808924
all,GO:0001932,regulation of protein phosphorylation,353,5,155,35143,0.0204768616529585,3.28517469310664,0.157097874808924
all,GO:0032968,positive regulation of transcription elongation by RNA polymerase II,50,2,155,35143,0.0206168000844401,9.17464052287462,0.157097874808924
all,GO:0051293,establishment of spindle localization,50,2,155,35143,0.0206168000844401,9.17464052287462,0.157097874808924
all,GO:0008287,protein serine/threonine phosphatase complex,50,2,155,35143,0.0206168000844401,9.17464052287462,0.157097874808924
all,GO:1903293,phosphatase complex,50,2,155,35143,0.0206168000844401,9.17464052287462,0.157097874808924
all,GO:0032692,negative regulation of interleukin-1 production,51,2,155,35143,0.0213970587406707,8.99448929898642,0.157097874808924
all,GO:0006606,protein import into nucleus,135,3,155,35143,0.0221000373466476,5.11812865497051,0.157097874808924
all,GO:0009566,fertilization,135,3,155,35143,0.0221000373466476,5.11812865497051,0.157097874808924
all,GO:0002065,columnar/cuboidal epithelial cell differentiation,52,2,155,35143,0.0221894526291309,8.82126696832468,0.157097874808924
all,GO:0051653,spindle localization,52,2,155,35143,0.0221894526291309,8.82126696832468,0.157097874808924
all,GO:0006352,DNA-templated transcription initiation,241,4,155,35143,0.0223403658366393,3.83633315929752,0.157097874808924
all,GO:0140104,molecular carrier activity,138,3,155,35143,0.0233950527313319,5.00643592677322,0.157097874808924
all,GO:0060261,positive regulation of transcription initiation by RNA polymerase II,54,2,155,35143,0.0238101639155777,8.4940692326303,0.157097874808924
all,GO:0005637,nuclear inner membrane,54,2,155,35143,0.0238101639155777,8.4940692326303,0.157097874808924
all,GO:0030170,pyridoxal phosphate binding,54,2,155,35143,0.0238101639155777,8.4940692326303,0.157097874808924
all,GO:0051170,import into nucleus,139,3,155,35143,0.0238357100383925,4.97027641045035,0.157097874808924
all,GO:0031663,lipopolysaccharide-mediated signaling pathway,55,2,155,35143,0.0246382422575144,8.33939393939295,0.157097874808924
all,GO:0048729,tissue morphogenesis,372,5,155,35143,0.0249643316282649,3.11568100358417,0.157097874808924
all,GO:0034976,response to endoplasmic reticulum stress,251,4,155,35143,0.0254498969737804,3.68243581963527,0.157097874808924
all,GO:0031113,regulation of microtubule polymerization,56,2,155,35143,0.0254779777100463,8.19024276377122,0.157097874808924
all,GO:0043405,regulation of MAP kinase activity,56,2,155,35143,0.0254779777100463,8.19024276377122,0.157097874808924
all,GO:0048644,muscle organ morphogenesis,56,2,155,35143,0.0254779777100463,8.19024276377122,0.157097874808924
all,GO:0060415,muscle tissue morphogenesis,56,2,155,35143,0.0254779777100463,8.19024276377122,0.157097874808924
all,GO:0070279,vitamin B6 binding,56,2,155,35143,0.0254779777100463,8.19024276377122,0.157097874808924
all,GO:0016073,snRNA metabolic process,57,2,155,35143,0.0263292527612722,8.04632496273271,0.157097874808924
