symbol,cohort,logFC,se,p
UBB,GSE25906,-0.418138027878966,0.0743978219130304,5.1707348591627e-07
SF3B2,GSE25906,-0.0776448678055216,0.101407001747504,0.446855555269484
SRSF5,GSE25906,0.492827701013512,0.122272399469685,0.000158480514306675
IDH3B,GSE25906,0.0253334798692701,0.0498937005261538,0.613481263571909
B4GALT3,GSE25906,-0.176886869297592,0.0697223175185362,0.0137840894978073
PSMC6,GSE25906,-0.0897547163384243,0.0431971354325476,0.041993133250861
POLR2C,GSE25906,0.0121680763939477,0.0898352059657695,0.892708057406925
HDAC3,GSE25906,-0.000768483906580688,0.0896531439018553,0.993189111508878
RPS21,GSE25906,-0.119327563919507,0.0694816445262985,0.0910379897723438
HAUS2,GSE25906,-0.0566119683654527,0.234859021035342,0.810336589454157
TOR1AIP1,GSE25906,-0.148912233328731,0.0644563197330513,0.0243100672881502
NOL11,GSE25906,0.0781994747115167,0.0683084473321315,0.256815074029623
UBE4B,GSE25906,-0.151066056043185,0.12800511074563,0.242571858536843
NUP214,GSE25906,-0.0626375629706216,0.0881559231321807,0.480113243885403
ANKMY2,GSE25906,-0.0250985252987664,0.0625793111569995,0.689787893978355
BCCIP,GSE25906,0.0661352111665692,0.0896316536440866,0.463463561643166
HNRNPH3,GSE25906,-0.0601239521886031,0.232310419322152,0.796664129835873
PAAF1,GSE25906,-0.158957892844007,0.0799199343456161,0.0512470525537557
LMBR1L,GSE25906,0.309086382257637,0.0500142318533461,6.03325517490034e-08
EEF1E1,GSE25906,0.031648374541421,0.132143940992496,0.811530552370055
TXK,GSE25906,-0.297010532031433,0.129082161817735,0.0248670971561434
EXOSC9,GSE25906,0.0153152209083436,0.0533908794354848,0.775209683012079
ZNF260,GSE25906,0.146105779797297,0.0508664494609593,0.00561594391142295
TMUB2,GSE25906,0.197525298171856,0.0577623266378409,0.00113008501316223
MAP3K2,GSE25906,0.0458154133207986,0.101665654064842,0.653859302300913
METTL13,GSE25906,0.00468397574588725,0.0718250380744534,0.948219545409543
ALG14,GSE25906,0.0425404729339006,0.0618406067406804,0.494149789573133
COA4,GSE25906,-0.016253647180964,0.0538823101479112,0.763955888828494
IRAK4,GSE25906,0.0617651547291423,0.0540967648340604,0.258069529777086
CD48,GSE25906,-0.171487764796122,0.0860130398884084,0.0507081383332981
NFRKB,GSE25906,0.0235162985590481,0.0606844361200088,0.699737159890621
FKBP3,GSE25906,-0.109986560099589,0.0633245547129722,0.0875152560656092
NIT1,GSE25906,-0.0737050197317864,0.0631493029697674,0.247741768295541
CMSS1,GSE25906,0.000862405206227204,0.050238535256419,0.986360682431675
SMG8,GSE25906,-0.165279156299354,0.085653713403756,0.058361639929927
TIGD1,GSE25906,0.021339522953878,0.108618717820265,0.844908566526111
FUBP1,GSE25906,-0.0139685570047002,0.0315951103906107,0.659989979865908
LIN7C,GSE25906,-0.109280937281729,0.0666412373801071,0.106244698672079
ZNF417,GSE25906,-0.0328434692376615,0.0587975989016296,0.578512895235966
SRR,GSE25906,-0.0439863895869561,0.0464299921585277,0.347230704060281
ELL3,GSE25906,0.0278388638704462,0.052139842824512,0.595354680501319
MYO1A,GSE25906,-0.0614500256689196,0.0542629843089008,0.261928234305528
KLK14,GSE25906,-0.0389942288066986,0.0474381324566382,0.414313788738245
PRR15L,GSE25906,-0.0899210923915983,0.045632993651627,0.0533731501559485
SPATA25,GSE25906,0.0320669625373087,0.0428274994137299,0.456919924614291
SLC16A7,GSE25906,0.0328692011780263,0.0409737952626397,0.425586668352126
CCDC77,GSE25906,-0.02702934934812,0.0280051450202001,0.338320617545961
LBP,GSE25906,0.0415125950044067,0.0618997354206138,0.505008446741658
SPDYE3,GSE25906,0.0306407556930081,0.0375680870994951,0.417934999603231
UBE2U,GSE25906,-0.0229581393061108,0.028567587189505,0.424759373869906
PI4KAP1,GSE25906,-0.030507426895418,0.0313552301776177,0.33445873049675
SLC17A1,GSE25906,-0.0232708638786734,0.0259149188584215,0.372771523442199
PON1,GSE25906,-0.0619315425890136,0.0357433118878115,0.0882645579355955
SEBOX,GSE25906,0.0181279562955343,0.0271415456217325,0.506742604073338
SSX5,GSE25906,-0.0234391526048768,0.0259654506754386,0.370273525818706
SLX4IP,GSE25906,0.00999065275205572,0.0275847004622467,0.718482824983858
THEM5,GSE25906,-0.0268217440881316,0.0308657346041569,0.388302450305556
SLC25A41,GSE25906,-0.0203191886010569,0.0230415603147988,0.381359325732205
OLFM4,GSE25906,-0.0223689488610461,0.0350996566499438,0.526342565481702
CCDC70,GSE25906,-0.0330074053448888,0.024409758941007,0.181353289825235
UBB,GSE35574,-0.475641268114405,0.0744601608723775,2.85648428020023e-08
SF3B2,GSE35574,-0.216021794092326,0.103572932279234,0.0413165106566295
SRSF5,GSE35574,0.641639591011596,0.11993990518426,1.48731983134563e-06
IDH3B,GSE35574,0.000340878148863962,0.0529725719277744,0.994887247196433
B4GALT3,GSE35574,-0.203228008509588,0.0731297539740233,0.00729202879792759
PSMC6,GSE35574,-0.114928957259701,0.0444544978563301,0.0122059855135205
POLR2C,GSE35574,0.148325099600693,0.0913058015310392,0.109574460169724
HDAC3,GSE35574,-0.116116363338091,0.0924618968790687,0.214102068323758
RPS21,GSE35574,-0.0530861938522502,0.0739087610339689,0.475412640989478
HAUS2,GSE35574,0.380024535027097,0.237389966953593,0.114724275942908
TOR1AIP1,GSE35574,-0.25011641486162,0.0606297230470752,0.000117085473195663
NOL11,GSE35574,0.164207186535125,0.0698012195147505,0.021984586887806
UBE4B,GSE35574,0.0437913943279455,0.134003888739421,0.744975606610054
NUP214,GSE35574,-0.196322749286908,0.0903270951007998,0.0337492512575264
ANKMY2,GSE35574,-0.0237620357440872,0.0665055734837321,0.722139898229813
BCCIP,GSE35574,0.172108007433987,0.0921988580347335,0.0668878717968303
HNRNPH3,GSE35574,0.343010655407115,0.239652287609943,0.157596504778671
PAAF1,GSE35574,-0.290209796844892,0.0785770172953075,0.000484006843615507
LMBR1L,GSE35574,0.333272810932761,0.052349969637521,3.10569177321443e-08
EEF1E1,GSE35574,0.231281126873661,0.135051997629844,0.0920217917728908
TXK,GSE35574,-0.379715786105931,0.133795626956649,0.00620494152651969
EXOSC9,GSE35574,0.0641783952989532,0.0555519066336366,0.252605571628836
TMUB2,GSE35574,0.191997740606937,0.0623092880326511,0.00312270310511945
ZNF260,GSE35574,0.0754996481545507,0.0544157565764277,0.170492552434597
MAP3K2,GSE35574,0.101810876518845,0.107553358278395,0.347678951338947
METTL13,GSE35574,-0.125204073399195,0.0740223569293033,0.0960016463144448
ALG14,GSE35574,-0.0492177730543029,0.0644968295315034,0.448425899417719
COA4,GSE35574,-0.0732032962559082,0.0563368270506999,0.1988391327099
IRAK4,GSE35574,0.0335560632029453,0.0572249872494616,0.559839583847576
CD48,GSE35574,-0.280776448911238,0.0872197610271291,0.00208620552978817
NFRKB,GSE35574,-0.0538491651537693,0.0630235342649642,0.396304819066627
FKBP3,GSE35574,-0.0418941226883348,0.0669378537955323,0.533803791520006
NIT1,GSE35574,0.0400748313132255,0.0668795010727983,0.551315052678547
CMSS1,GSE35574,-0.00219473205419229,0.0530885639035298,0.967162922930576
SMG8,GSE35574,-0.0319428918418827,0.0915024549389799,0.728255505669993
TIGD1,GSE35574,0.206697940304082,0.111050809544733,0.0676604812420455
FUBP1,GSE35574,-0.0561187166247775,0.0327832348117202,0.0921557939504766
LIN7C,GSE35574,0.0161657558193584,0.0706126283852552,0.81970634682322
ZNF417,GSE35574,-0.0369035291225455,0.0623817233102128,0.556382522149563
SRR,GSE35574,-0.106418055973795,0.0473780725200635,0.028431875531221
ELL3,GSE35574,-0.0190170099290802,0.0545064216370475,0.728403702550233
MYO1A,GSE35574,-0.0370257942808873,0.0577389827742459,0.523822839344141
KLK14,GSE35574,-0.0557089021817564,0.0499723226467528,0.269434685844526
PRR15L,GSE35574,-0.059445986925958,0.0486794607382358,0.226852664481129
SPATA25,GSE35574,-0.00226905220350114,0.045481041871977,0.960377610993168
SLC16A7,GSE35574,0.012940668873551,0.0432755691147332,0.765962780505669
CCDC77,GSE35574,0.00555595799163671,0.0291686968266423,0.849585984274865
LBP,GSE35574,-0.00992343792116328,0.0657919794400443,0.880621184099316
SPDYE3,GSE35574,0.0663039394219457,0.0377976300406213,0.084564156324247
UBE2U,GSE35574,-0.0146508957184424,0.0300978878339281,0.628211759112135
PI4KAP1,GSE35574,-0.00796281056255507,0.0324975551548073,0.807280482382913
SLC17A1,GSE35574,-0.0314727593864843,0.0271805424747663,0.251539844130852
SEBOX,GSE35574,0.031659329969558,0.0283283583841123,0.268250716009367
PON1,GSE35574,-0.0320437891417257,0.0382561411346218,0.405611199757246
SSX5,GSE35574,-0.038237543881132,0.0268713794157383,0.159979102181444
SLX4IP,GSE35574,0.019945100014384,0.0288037053390854,0.491357380266719
THEM5,GSE35574,-0.00312237706322407,0.0327249685187543,0.924308650783476
SLC25A41,GSE35574,-0.01542906040689,0.0243784917976096,0.529233762395556
OLFM4,GSE35574,-0.0241848290043493,0.036662397884409,0.512023303802467
CCDC70,GSE35574,-0.0120234004976589,0.0261213561267956,0.646990992624029
UBE2U,GSE44711,,1e+06,
EEF1E1,GSE44711,,1e+06,
UBB,GSE44711,-0.199669526124003,0.15574230835945,0.218090146520199
SRSF5,GSE44711,0.452424644073237,0.294531595692025,0.144055324084736
PSMC6,GSE44711,0.498511456684848,0.283256565840861,0.0975206499907753
HNRNPH3,GSE44711,0.0896104052260994,0.200975765640435,0.661660689667645
HAUS2,GSE44711,0.125866466792217,0.464088802627434,0.78969579100474
RPS21,GSE44711,-0.33567652305666,0.286796706783738,0.258964405054925
FKBP3,GSE44711,0.135256228390983,0.144401117489759,0.362851752082075
IDH3B,GSE44711,0.0372521976856302,0.178447719346917,0.837272384563366
SF3B2,GSE44711,-0.00942187565615846,0.132100364327482,0.944024090945648
TOR1AIP1,GSE44711,0.142556363615606,0.306793222236764,0.648431004942939
NOL11,GSE44711,0.12665840716353,0.11077387381514,0.269693575376681
TMUB2,GSE44711,-0.30578767590031,0.163500443129613,0.0798562870268126
POLR2C,GSE44711,0.334148887934866,0.202248179778121,0.117984532153743
UBE4B,GSE44711,0.0197882968872103,0.171569250371809,0.909612999027799
EXOSC9,GSE44711,0.138216553699618,0.13480996702213,0.320487491530763
B4GALT3,GSE44711,0.184708027511572,0.127230119098722,0.165893094453539
HDAC3,GSE44711,-0.0383445896366566,0.124715615975829,0.762461861237114
METTL13,GSE44711,0.0131937889188434,0.161832382059532,0.936033574188179
NUP214,GSE44711,-0.304900507713994,0.157334587481591,0.0704876050879295
BCCIP,GSE44711,0.248950462495888,0.133447141438031,0.0805495318763004
PAAF1,GSE44711,-0.195799302740803,0.21988705976886,0.386415736511216
SMG8,GSE44711,0.247405013862576,0.169388092830392,0.163488214838688
CMSS1,GSE44711,0.192515833616558,0.202189257372077,0.355180658753642
CCDC77,GSE44711,-0.15095591059537,0.169893188827435,0.387416261984287
SLX4IP,GSE44711,-0.619487715819317,0.332174549319899,0.0806365310045497
PI4KAP1,GSE44711,0.0811508484103741,0.308046321786665,0.795576097342042
EED,GSE44711,0.64542602173264,0.384682710715801,0.112805358523528
ANKMY2,GSE44711,0.565382305368729,0.457417951714612,0.234286213084593
ZNF260,GSE44711,-0.0393528447162356,0.224234420901718,0.86288955828806
COA4,GSE44711,0.0631195768989415,0.207320680242953,0.764706196423355
ELL3,GSE44711,-0.896533771268341,0.290910483038527,0.00714659568611104
LIN7C,GSE44711,0.0169483517927437,0.20531881409717,0.935235970820514
ALG14,GSE44711,0.239532490016032,0.504138784099342,0.641113779636306
ZNF417,GSE44711,0.545838680613648,0.325790458497297,0.113278731520003
SRR,GSE44711,0.87194652963854,0.540409332879388,0.127472100197202
TMCO6,GSE44711,0.401634655581188,0.24830251527023,0.12530709802099
NIT1,GSE44711,-0.141926659812336,0.231750919942741,0.548871533546418
IRAK4,GSE44711,0.403676274810484,0.280688718443776,0.169659383803794
LMBR1L,GSE44711,-0.268299905948439,0.321103481582018,0.415707980862299
NFRKB,GSE44711,0.4383900013371,0.307077889782579,0.172627852782873
FUBP1,GSE44711,0.95367738622787,0.449067525236988,0.0507382957074788
CD48,GSE44711,3.93510528973173,1.16286820797192,0.00408997646482992
BDNF-AS,GSE44711,-0.101966275930764,0.344162104236738,0.77137018588421
OLFM4,GSE44711,1.08241162660553,0.834780799167005,0.21314311902066
TIGD1,GSE44711,0.20147874110982,0.2679789311848,0.463060901292589
SEBOX,GSE44711,0.418620327600972,0.35559254505541,0.258723079756487
MIR645,GSE44711,0.26572438418715,0.445139365520934,0.558896067968783
MAP3K2,GSE44711,-0.582595209566695,0.548483693741942,0.307482099452613
KLK14,GSE44711,-0.0286088965040576,0.541023395251987,0.958575245930133
SLC16A7,GSE44711,-1.33365207170296,0.485437747157874,0.0157270990288451
TXK,GSE44711,0.360836051341869,0.84827987163753,0.678766370504781
SPDYE3,GSE44711,-0.831371435241902,0.677432986905096,0.238645751553155
SSX5,GSE44711,-0.945135111254974,1.03035199793657,0.378660818165258
THEM5,GSE44711,-0.572776901840817,0.679786998531157,0.412695106970942
SPATA25,GSE44711,-0.686074341797107,0.882604420431585,0.45495927306384
PON1,GSE44711,1.24718155755358,0.834675559833022,0.169326337773581
OR4F16,GSE44711,-0.0206605866864409,0.388642869547031,0.958556868533867
MIR1203,GSE44711,0.651967062702358,0.557445711491855,0.286527057408292
PRR15L,GSE44711,1.32020252596912,1.21031642994603,0.293782159781734
SLC25A41,GSE44711,0.742817360387188,0.61913948951896,0.296426876925294
MYO1A,GSE44711,-0.110503138727475,1.72087836996652,0.951880992356279
SLC17A1,GSE44711,0.926414082623066,0.897698301739735,0.326389253398712
LBP,GSE44711,-0.343466829640056,0.448342681520762,0.486331139201116
CCDC70,GSE44711,0.509146417002104,1.38623605593581,0.728436518663874
RPS21,GSE10588,0.234902523138656,0.148035846674423,0.119609633743107
SRSF5,GSE10588,0.298495943062858,0.0969508360391682,0.00354618127580265
UBB,GSE10588,0.185201348767688,0.078331784028069,0.022469253534385
SF3B2,GSE10588,-0.0322019086471241,0.0840421210571832,0.703414691048373
PSMC6,GSE10588,-0.428469075365833,0.0967416953777915,6.04752908873379e-05
FKBP3,GSE10588,0.0582458647744972,0.0980828797643884,0.555610785368846
FUBP1,GSE10588,-0.205431523162849,0.0926627792737427,0.0317556137709812
NIT1,GSE10588,0.108556667671525,0.0885131433293377,0.22645286010289
PAAF1,GSE10588,-0.429165285434249,0.0940145124255696,3.8982421851698e-05
NOL11,GSE10588,-0.156564480570092,0.0716745848900787,0.0342215898988925
ANKMY2,GSE10588,-0.0769543789388276,0.0893159468448946,0.3935083236495
COA4,GSE10588,0.227518963753214,0.102976204699242,0.0323120790259253
HNRNPH3,GSE10588,0.0276530643041795,0.0998410333433509,0.783079406462673
UBE4B,GSE10588,-0.243994472761234,0.110254632510943,0.0320473301891996
TXK,GSE10588,-0.570160446329639,0.287756883031537,0.0537187772794283
IDH3B,GSE10588,0.0355247451088155,0.0669014103766562,0.598046820170372
BCCIP,GSE10588,-0.115204698077869,0.160345794639216,0.476202912487681
B4GALT3,GSE10588,0.102499247156902,0.145791968316999,0.485669954095172
LMBR1L,GSE10588,0.440997235465547,0.124444307501676,0.000937680979702351
TOR1AIP1,GSE10588,0.378866214867828,0.0998654058176025,0.00044299678938206
EED,GSE10588,-0.011762163333889,0.0849434128681162,0.890490544741375
EEF1E1,GSE10588,-0.349183092783637,0.141939604523137,0.0178237719515378
SMG8,GSE10588,0.174126552570806,0.127458855047869,0.178730091283823
POLR2C,GSE10588,0.0954547666481745,0.157904658694511,0.548562104515321
EXOSC9,GSE10588,-0.132313659589235,0.0777900112734014,0.0959090588744095
HDAC3,GSE10588,0.190672559514908,0.100700711683146,0.0647816776351059
TMUB2,GSE10588,0.498439460459438,0.195026808516916,0.0140691536144516
LIN7C,GSE10588,-0.410649972023684,0.0945985596002462,8.01990786465924e-05
ALG14,GSE10588,-0.4312102414162,0.128012162145168,0.00156429504539048
NFRKB,GSE10588,0.166297371855981,0.127717325013533,0.199561866640405
IRAK4,GSE10588,-0.339643837744661,0.158922128287836,0.0380920724256412
SPDYE3,GSE10588,0.0543650696418834,0.383046611273081,0.887774664972184
SPATA25,GSE10588,0.0919936859860412,0.126629686219303,0.471333574001409
SRR,GSE10588,-0.668301251676756,0.163206196121512,0.000174808981888685
ZNF417,GSE10588,-0.481982684744788,0.244070901825927,0.0544921530101449
HAUS2,GSE10588,-0.243329582130354,0.112771182562157,0.0363616629047442
TMCO6,GSE10588,0.380725595981779,0.217061682477573,0.0862861443071154
METTL13,GSE10588,0.0790753621478814,0.118699128229626,0.508718215533805
CCDC77,GSE10588,-0.221977465889643,0.219383226238414,0.317068242231602
CMSS1,GSE10588,-0.29032261334761,0.177611817439869,0.109159915398789
MAP3K2,GSE10588,0.0350387842653916,0.359018658887282,0.922689470351124
NUP214,GSE10588,0.333324564556108,0.256902633681678,0.201125264371839
ELL3,GSE10588,0.228172191049463,0.275811122881202,0.412475387049772
CD48,GSE10588,0.282474724666968,0.291978490710883,0.338525119606226
UBE2U,GSE10588,-0.108794136037889,0.16626485923186,0.516244461721805
LBP,GSE10588,0.20982911682277,0.139486459982464,0.139539261755874
THEM5,GSE10588,0.146705990118101,0.237531144539949,0.539954643896094
OLFM4,GSE10588,0.421278251514929,0.173741848499344,0.0194263566833597
TIGD1,GSE10588,0.264382782697102,0.247110797003881,0.290410411923261
KLK14,GSE10588,0.0508619372131094,0.183364004609211,0.782765541472574
MYO1A,GSE10588,0.278100180671497,0.26234367853664,0.294812322042232
PRR15L,GSE10588,-0.000358604444773159,0.238920669861343,0.998809106892229
PON1,GSE10588,-0.640235431770784,0.224342204157263,0.00652367694935708
SLC16A7,GSE10588,0.674572912165637,0.223024814827335,0.00411586947306247
SLC25A41,GSE10588,-0.173654551840548,0.283192377961407,0.542849936933056
SLC17A1,GSE10588,-0.0466231652723335,0.175178806275865,0.791350635767222
CCDC70,GSE10588,0.143108690678159,0.21925734919685,0.517294746049398
TXK,GSE54618,-0.415250729166667,0.228950751618419,0.0817626695786289
CD48,GSE54618,-0.0374496180555556,0.11392077569792,0.74509888154091
SRSF5,GSE54618,0.1690225,0.143399167294962,0.249637430853243
OLFM4,GSE54618,-0.145155642361111,0.128466091529009,0.26925344143569
NFRKB,GSE54618,-0.0130602604166667,0.0706744370506323,0.854883282034483
RPS21,GSE54618,-0.132228975694444,0.121303403813087,0.286094636633997
LBP,GSE54618,0.115201597222222,0.0805703883972437,0.16516494292298
NIT1,GSE54618,-0.0346132638888888,0.0668713050150487,0.609287418174469
ZNF417,GSE54618,-0.0304254513888889,0.0825581859485926,0.715582695503664
MYO1A,GSE54618,-0.0999620486111111,0.0582011963289224,0.0982666970542853
UBB,GSE54618,-0.0554892534722222,0.0796465667618048,0.492432043941224
HNRNPH3,GSE54618,0.00165925347222222,0.0785496780801449,0.983314993063115
ALG14,GSE54618,0.0594856770833334,0.0588503284841287,0.321812300669352
CCDC70,GSE54618,-0.0433059027777778,0.0391711125925351,0.279460349266796
PRR15L,GSE54618,0.0366192361111111,0.0532864344476048,0.4982829692938
SLC25A41,GSE54618,-0.00990722222222222,0.0330700707861415,0.766975841993638
PSMC6,GSE54618,0.00697621527777783,0.0591800074281759,0.907105163170195
EEF1E1,GSE54618,0.0133839583333334,0.0711209800029569,0.852252503295013
PON1,GSE54618,-0.0445031944444444,0.0424694546343744,0.304731428056957
COA4,GSE54618,-0.0756615451388889,0.0505475910428191,0.146974019071101
BCCIP,GSE54618,-0.0063623784722222,0.0506184561502771,0.900981936427547
B4GALT3,GSE54618,-0.0938665972222223,0.0935154315826459,0.325128238088533
SLX4IP,GSE54618,0.0792277430555556,0.0630961160566588,0.220863523916728
SSX5,GSE54618,0.0278059548611111,0.0349316549308787,0.433531362400466
SEBOX,GSE54618,-0.00204746527777779,0.0418305085505493,0.961351314021041
BDNF-AS,GSE54618,-0.0069998611111111,0.0404798407990153,0.864107133924633
SLC16A7,GSE54618,-0.00229074652777778,0.0409892283846443,0.955877117080415
IRAK4,GSE54618,0.117046510416667,0.0628878888278082,0.0745344192202005
NUP214,GSE54618,0.0260543923611111,0.0640887620799507,0.68781332493392
UBE2U,GSE54618,0.0137977951388889,0.0463010386018028,0.768168085284825
METTL13,GSE54618,-0.0348768055555555,0.0583079321175246,0.555129694899067
PI4KAP1,GSE54618,0.0903281423611111,0.11141554617656,0.425182278525653
ZNF260,GSE54618,-0.0313257638888889,0.0514115970537374,0.547823173208781
ELL3,GSE54618,0.00898644097222223,0.047053676499536,0.850083968041845
TMUB2,GSE54618,0.0177996527777778,0.0492193088586617,0.72066460351917
KLK14,GSE54618,-0.00511178819444444,0.0393519360055411,0.897687228716173
TIGD1,GSE54618,-0.0620733506944445,0.0392116482908187,0.126002887740348
POLR2C,GSE54618,0.0204683854166667,0.0882970228496127,0.8185732337412
MAP3K2,GSE54618,-0.0241626736111111,0.0414319614615569,0.564998199951327
CMSS1,GSE54618,-0.0176488715277778,0.0486466860097418,0.7198105064128
TMCO6,GSE54618,0.0683375173611111,0.0471995252868681,0.160105276190339
SLC17A1,GSE54618,0.0335800868055556,0.0523831406307946,0.52733404960761
FKBP3,GSE54618,-0.016728125,0.0595231798132276,0.780999569440658
EED,GSE54618,0.01758859375,0.0481144867447086,0.717775112777196
SPDYE3,GSE54618,0.101607430555556,0.0395086755558012,0.0164592948212932
FUBP1,GSE54618,0.0153556076388889,0.036744640524666,0.679592876870721
OR4F16,GSE54618,0.0706910590277778,0.0432958391649337,0.115075097782819
NOL11,GSE54618,-0.0224010243055556,0.0514221495155458,0.666849225859543
LMBR1L,GSE54618,0.0182285243055555,0.0511860940053307,0.724741074604111
EXOSC9,GSE54618,-0.00553581597222222,0.0713182880309267,0.938748174892278
MIR1203,GSE54618,0.0494264236111111,0.0436036333737346,0.267757834552035
MIR645,GSE54618,0.0417311979166667,0.0512261936325222,0.422979553260545
HDAC3,GSE54618,-0.0745877951388889,0.0796679797467342,0.358123354508444
SMG8,GSE54618,0.138493506944445,0.0808034968931577,0.0989303616025787
THEM5,GSE54618,0.118364166666667,0.0395063725667135,0.00610146428063666
TOR1AIP1,GSE54618,0.0136770659722222,0.085875933978271,0.874741417542144
UBE4B,GSE54618,0.0224275347222222,0.079454276006565,0.780063949713824
SPATA25,GSE54618,-0.0464896701388888,0.059042802284097,0.43846692052759
SRR,GSE54618,-0.0435961979166666,0.120539050790076,0.720637048530231
SF3B2,GSE54618,-0.00865281249999986,0.0916023480895311,0.925497456022391
LIN7C,GSE54618,0.0538955034722223,0.0844354278434189,0.529088693623665
CCDC77,GSE54618,-0.143845364583333,0.073120982425174,0.0603655548985289
ANKMY2,GSE54618,0.0584144270833334,0.0897736104255287,0.521194148673436
HAUS2,GSE54618,-0.06098859375,0.108232511551276,0.57812462997673
IDH3B,GSE54618,-0.06970953125,0.0748318073497294,0.3604923180151
PAAF1,GSE54618,-0.0859712499999999,0.104918833602192,0.420309259703547
UBB,GSE85307_blood,-0.0332621048602325,0.0314625310223356,0.292029185576912
CD48,GSE85307_blood,-0.0158346870923633,0.0482149638821687,0.74302845779871
TOR1AIP1,GSE85307_blood,-0.0193742407637148,0.0238773072816416,0.418347424725596
SRSF5,GSE85307_blood,0.00833356357476446,0.0233406829148732,0.721536289252127
MAP3K2,GSE85307_blood,0.000227870765932145,0.045729129777965,0.996030376311938
B4GALT3,GSE85307_blood,-0.0614404637447792,0.0566709391437033,0.279938483521764
PI4KAP1,GSE85307_blood,-0.0292120925519609,0.0403324495703125,0.469959332324616
NUP214,GSE85307_blood,0.00311447029530889,0.0322777581292628,0.923253498111089
IRAK4,GSE85307_blood,-0.0228547835762413,0.0312256498224006,0.465295509307996
HDAC3,GSE85307_blood,-0.0320461936003882,0.0286378530731126,0.264825612490868
FUBP1,GSE85307_blood,-0.0137083861794535,0.0314757644603105,0.663775770547039
UBE4B,GSE85307_blood,0.0314727617156801,0.0395236153386054,0.427046470954566
TXK,GSE85307_blood,0.0399762743547423,0.0514054643186329,0.437924551447596
LMBR1L,GSE85307_blood,0.0168535172689084,0.0217712104366193,0.440012620270632
SF3B2,GSE85307_blood,0.0456237205897566,0.0396218362577266,0.251268095740891
TMCO6,GSE85307_blood,0.0347114981446106,0.0261455653240174,0.186209911061441
POLR2C,GSE85307_blood,0.0420709220268819,0.0346941879951717,0.227077742159895
TMUB2,GSE85307_blood,0.00732311437186629,0.0287925739369973,0.799562073419419
EEF1E1-BLOC1S5,GSE85307_blood,-0.0489273901021333,0.0474716332484349,0.304266776891819
TIGD1,GSE85307_blood,-0.0223591288533807,0.0611126272736618,0.714951443515435
SLC16A7,GSE85307_blood,-0.0329138215624194,0.0429493444852467,0.444612880063762
EED,GSE85307_blood,0.018461177333095,0.032841543511711,0.574821883252384
NFRKB,GSE85307_blood,0.00578925491628628,0.0317315399757379,0.855466661316168
ZNF417,GSE85307_blood,-0.00150876193620758,0.0309232100416674,0.96114756392521
SPDYE3,GSE85307_blood,0.0666307680715546,0.0326734803987712,0.0430808194149923
LIN7C,GSE85307_blood,-0.0151286122750061,0.0678585594418279,0.823866502641399
IDH3B,GSE85307_blood,-0.00844088881223233,0.0238531710528244,0.723907341120212
SLX4IP,GSE85307_blood,-0.0134639911419393,0.0330016510785854,0.68383909979059
NIT1,GSE85307_blood,-0.00169829144993805,0.02869943039316,0.952887145275298
HNRNPH3,GSE85307_blood,0.0498484130105094,0.063311626715759,0.432252049078484
OLFM4,GSE85307_blood,-0.024725126024716,0.219037601331866,0.910267863206226
EXOSC9,GSE85307_blood,-0.0397505337370177,0.0413329934580894,0.33765708555605
RPS21,GSE85307_blood,-0.0303261463662226,0.0623944034158091,0.627610017867442
KLK14,GSE85307_blood,0.0123986266129941,0.0216408070651271,0.567504769951116
SPATA25,GSE85307_blood,0.00153883078761693,0.0193270451074368,0.936639393890551
