cpg,region_id,symbol,pheno,obs_cfDNA_direction,dmr_delta_beta,MR_OR,MR_p,MR_direction,triangulation,significant
cg18129748,106528,,PE_FinnGen,hyper,0.101939790675457,0.863716141889176,0.106583477519457,risk_down,opposite,no
cg18129748,106528,,PE_Tyrmi,hyper,0.101939790675457,0.977222879301925,0.761068613553636,risk_down,opposite,no
cg18129748,106528,,GH_FinnGen,hyper,0.101939790675457,0.859076130334966,0.0720332337134609,risk_down,opposite,no
cg24308560,106528,,PE_FinnGen,hyper,0.101939790675457,0.990747844593979,0.500568281359461,risk_down,opposite,no
cg24308560,106528,,PE_Tyrmi,hyper,0.101939790675457,1.00550953483111,0.641618088362192,risk_up,consistent,no
cg24308560,106528,,GH_FinnGen,hyper,0.101939790675457,0.964854307569099,0.145463877050214,risk_down,opposite,no
cg27360567,106528,,PE_FinnGen,hyper,0.101939790675457,0.981227634705965,0.352100689241524,risk_down,opposite,no
cg27360567,106528,,PE_Tyrmi,hyper,0.101939790675457,0.999768105529787,0.989665139141524,risk_down,opposite,no
cg27360567,106528,,GH_FinnGen,hyper,0.101939790675457,0.923833627115927,0.0401121850894292,risk_down,opposite,yes
cg00387872,12268,SLC17A1,PE_FinnGen,hypo,-0.118554151372849,0.988893933132607,0.432597387944871,risk_down,consistent,no
cg00387872,12268,SLC17A1,PE_Tyrmi,hypo,-0.118554151372849,1.00061514972799,0.955888883680359,risk_up,opposite,no
cg00387872,12268,SLC17A1,GH_FinnGen,hypo,-0.118554151372849,1.01924834891861,0.0982844852669085,risk_up,opposite,no
cg19490609,12268,SLC17A1,PE_FinnGen,hypo,-0.118554151372849,0.897891186118979,0.000104119442620056,risk_down,consistent,yes
cg19490609,12268,SLC17A1,PE_Tyrmi,hypo,-0.118554151372849,0.980212079832161,0.42954523327643,risk_down,consistent,no
cg19490609,12268,SLC17A1,GH_FinnGen,hypo,-0.118554151372849,0.973378754656478,0.486057269349771,risk_down,consistent,no
cg25753631,12268,SLC17A1,PE_FinnGen,hypo,-0.118554151372849,1.02032560857025,0.445623667457313,risk_up,opposite,no
cg25753631,12268,SLC17A1,PE_Tyrmi,hypo,-0.118554151372849,1.02094273098482,0.194719547621504,risk_up,opposite,no
cg25753631,12268,SLC17A1,GH_FinnGen,hypo,-0.118554151372849,1.02744843056582,0.114516791606105,risk_up,opposite,no
cg15445000,84604,,PE_FinnGen,hypo,-0.13923543991367,1.08902813708903,0.000215663846993278,risk_up,opposite,yes
cg15445000,84604,,PE_Tyrmi,hypo,-0.13923543991367,1.05864930460521,0.00241099107185983,risk_up,opposite,yes
cg15445000,84604,,GH_FinnGen,hypo,-0.13923543991367,1.04827846930522,0.0260851951328205,risk_up,opposite,yes
