cohort,cell,med_PE,med_CT,p,log2fc,diff,p_bh
GSE85307_blood,T_cells,2.45682803537165,2.43030131106748,0.611560814014798,0.0156616823786583,0.0265267243041705,0.951316821800797
GSE85307_blood,CD8_T,1.55706916912115,1.55018719681652,0.428667218004737,0.00639058770184838,0.0068819723046305,0.951316821800797
GSE85307_blood,Cytotoxic,2.3950079486745,2.31157203433533,0.292751298116748,0.0511561010755978,0.083435914339165,0.951316821800797
GSE85307_blood,NK,0.806090770467335,0.763620811430829,0.467644651709087,0.0780857822002965,0.0424699590365061,0.951316821800797
GSE85307_blood,B_cells,2.34835858571165,2.33657546099746,0.888741048136918,0.00725708580304653,0.0117831247141917,0.95710574414745
GSE85307_blood,Plasma,1.23011606961141,1.28911481273181,0.208002634867517,-0.0675862569945115,-0.0589987431204024,0.951316821800797
GSE85307_blood,Monocytes,2.9134838516316,2.91270958220579,0.873620469285461,0.000383452522382059,0.000774269425805496,0.95710574414745
GSE85307_blood,Macrophage,0.828969898718774,0.835693559777033,0.546065122295672,-0.0116542878518796,-0.00672366105825939,0.951316821800797
GSE85307_blood,DC,1.55732124112649,1.6267678014713,0.029051803925253,-0.0629417300842806,-0.06944656034481,0.406725254953542
GSE85307_blood,Neutrophils,2.97985701058748,2.97854530306913,0.161246820890378,0.000635201595181054,0.00131170751834508,0.951316821800797
GSE85307_blood,Eosinophils,0.991909763595469,0.929564616357521,0.520876454732565,0.0936536296473284,0.0623451472379484,0.951316821800797
GSE85307_blood,Treg,0.679350523606449,0.673881159699438,1,0.0116619431640752,0.00546936390701114,1
GSE85307_blood,Th1,1.1718707943002,1.17650844580271,0.831544805612427,-0.00569815957275873,-0.00463765150251483,0.95710574414745
GSE85307_blood,Th17,0.052927824950791,0.0518339107384053,0.683131391486616,0.0301295473865335,0.00109391421238564,0.956383948081262
GSE48424_blood,T_cells,1.93935558277382,1.86834728230034,0.0970591369585421,0.0538146755715917,0.0710083004734778,0.172348628724515
GSE48424_blood,CD8_T,1.71295296505209,1.68523100258407,0.110795547037189,0.0235391620186905,0.0277219624680201,0.172348628724515
GSE48424_blood,Cytotoxic,2.543712569822,2.36978825239002,0.0170781711651175,0.102177463164661,0.17392431743198,0.0796981321038817
GSE48424_blood,NK,1.21137195704434,1.02333237732807,0.00871402964096855,0.243366892923989,0.188039579716262,0.0796981321038817
GSE48424_blood,B_cells,2.34973920745024,2.2460432839277,0.0907075699466431,0.0651148852220975,0.103695923522539,0.172348628724515
GSE48424_blood,Plasma,1.45401577112663,1.35871786932515,0.0170781711651175,0.0977969289790077,0.0952979018014857,0.0796981321038817
GSE48424_blood,Monocytes,2.88975783108833,2.9029538127383,0.05914717921616,-0.00657301962032365,-0.0131959816499765,0.165612101805248
GSE48424_blood,Macrophage,1.65760285208526,1.63750153979114,0.481229515332956,0.0176021165087143,0.020101312294118,0.608070503000288
GSE48424_blood,DC,1.75029615682003,1.74824808245506,0.987538144803196,0.00168912849232742,0.00204807436496712,0.987538144803196
GSE48424_blood,Neutrophils,2.80611259809591,2.84280937020729,0.0244012950418491,-0.018744453350379,-0.0366967721113811,0.0854045326464719
GSE48424_blood,Eosinophils,0.888363600878776,0.81734725614146,0.481229515332956,0.12020099265107,0.0710163447373161,0.608070503000288
GSE48424_blood,Treg,0.109527897998073,0.0804873782067087,0.521203288285961,0.44445916803552,0.0290405197913644,0.608070503000288
GSE48424_blood,Th1,1.57667569993815,1.47917432374523,0.103751654259083,0.0920938011634431,0.0975013761929175,0.172348628724515
GSE48424_blood,Th17,0.118748017610011,0.132717776769417,0.695997500555171,-0.160456916237163,-0.0139697591594057,0.749535769828645
