motif_id,tf,cand_hit,cand_n,hypo_hit,hypo_n,hyper_hit,hyper_n,bg_hit,bg_n,or,p_fisher,p_bh
MA2538.1,CGGBP1,1,166,0,61,1,105,222,2458,0.061042861042861,8.55224696054681e-06,0.0142052822014682
MA0259.1,ARNT::HIF1A,82,166,27,61,55,105,1626,2458,0.499502137878522,2.22449521723814e-05,0.0184744327791627
MA1951.1,FOS,6,166,0,61,6,105,6,2458,15.325,3.93942093846684e-05,0.0218112605959781
MA1951.2,FOS,6,166,0,61,6,105,7,2458,13.1303571428571,6.93478379880355e-05,0.0287966897245318
MA0095.2,YY1,26,166,4,61,22,105,176,2458,2.40795454545455,0.000393181630731127,0.10576680303575
MA1721.1,ZNF93,0,166,0,61,0,105,123,2458,0,0.000445614906381149,0.10576680303575
MA2583.1,ZNF142,0,166,0,61,0,105,127,2458,0,0.000480035121815709,0.10576680303575
MA1499.1,HOXB4,121,166,42,61,79,105,2065,2458,0.511735270379338,0.000509412657607465,0.10576680303575
MA1650.2,ZBTB14,13,166,4,61,9,105,438,2458,0.391858417644074,0.000595845578203239,0.10996661171062
MA0794.1,PROX1,5,166,0,61,5,105,9,2458,8.45065562456867,0.00119663551050733,0.198761158295267
MA1106.1,HIF1A,39,166,12,61,27,105,877,2458,0.553596279370438,0.00133134949771071,0.201033774154317
MA0500.2,MYOG,41,166,13,61,28,105,890,2458,0.577869662921348,0.00249126078171343,0.284117181863906
MA1721.2,ZNF93,3,166,2,61,1,105,186,2458,0.224816940431427,0.00278394352985112,0.284117181863906
MA1729.1,ZNF680,6,166,2,61,4,105,18,2458,5.08333333333333,0.0030294596977448,0.284117181863906
MA0763.2,ETV3,29,166,9,61,20,105,237,2458,1.98370753641935,0.00306991834961028,0.284117181863906
MA1102.3,CTCFL,48,166,19,61,29,105,999,2458,0.594085611034764,0.00309478917392497,0.284117181863906
MA0105.3,NFKB1,16,166,10,61,6,105,454,2458,0.470837004405286,0.00322842222414302,0.284117181863906
MA1563.2,SOX18,130,166,46,61,84,105,2136,2458,0.544371618809821,0.0032582632002551,0.284117181863906
MA1560.2,SOHLH2,19,166,6,61,13,105,507,2458,0.497376860014223,0.00350919725073931,0.284117181863906
MA0703.3,LMX1B,56,166,18,61,38,105,1120,2458,0.608181818181818,0.0035867405852347,0.284117181863906
MA1106.2,HIF1A,55,166,19,61,36,105,1099,2458,0.612719179598161,0.00359208959611199,0.284117181863906
MA1127.1,FOSB::JUN,9,166,3,61,6,105,42,2458,3.2975432211101,0.00395524806720771,0.289413190896539
MA0527.2,ZBTB33,8,166,1,61,7,105,34,2458,3.60982874162323,0.00400752762830848,0.289413190896539
MA0702.1,LMX1A,73,166,23,61,50,105,1362,2458,0.631645429712788,0.0047281439545408,0.310569333431982
MA1560.1,SOHLH2,8,166,3,61,5,105,285,2458,0.386053741949811,0.00486544885590551,0.310569333431982
MA0719.1,RHOXF1,158,166,56,61,102,105,2422,2458,0.293559042113955,0.00539962246715086,0.310569333431982
MA0877.3,BARHL1,31,166,8,61,23,105,705,2458,0.570979774100342,0.00547855771883634,0.310569333431982
MA0131.3,HINFP,16,166,5,61,11,105,440,2458,0.489212121212121,0.00566714777442902,0.310569333431982
MA1650.1,ZBTB14,3,166,0,61,3,105,173,2458,0.243093726727898,0.00572300583684786,0.310569333431982
MA0726.1,VSX2,77,166,23,61,54,105,1418,2458,0.634538279900477,0.00574776489206121,0.310569333431982
MA2628.1,HELT,32,166,11,61,21,105,720,2458,0.576451077943615,0.00579629701167456,0.310569333431982
MA0464.3,BHLHE40,20,166,7,61,13,105,510,2458,0.523233951114692,0.00671671775492487,0.348639630966569
MA2685.1,TLX3,99,166,34,61,65,105,1716,2458,0.638920780711826,0.00705873976824321,0.353162788476759
MA1131.1,FOSL2::JUN,10,166,3,61,7,105,56,2458,2.74954212454212,0.00750012258161311,0.353162788476759
