family,accession,trait,cpg,region_id,k_iv,method,beta,se,lo,hi,p,Qp,mean_F,p_bh
Basophil,GCST90018946,Basophil count,cg00387872,12268,58,ivw_re,-0.0009573759004572485,0.0019876683901356917,-0.004853205945123204,0.002938454144208707,0.6300490886439979,2.200415502418007e-06,736.7876238675574,0.8671442020634345
Basophil,GCST90018946,Basophil count,cg15445000,84604,15,ivw_re,0.0020072499495005502,0.005410344834649641,-0.008597025926412746,0.012611525825413847,0.7106358775373073,2.829537045812014e-05,410.97954938698894,0.9247574119068547
Basophil,GCST90018946,Basophil count,cg18129748,106528,4,ivw_fe,-0.03469467574522803,0.011374604824107,-0.056988901200477754,-0.012400450289978316,0.002286986552315064,0.20802176445696036,93.81870373504762,0.023285681259935197
Basophil,GCST90018946,Basophil count,cg19490609,12268,24,ivw_fe,0.005103687994403012,0.003149538803657601,-0.0010694080607658854,0.01127678404957191,0.1051344307964164,0.0670747053812803,193.27971619765344,0.3019245192102215
Basophil,GCST90018946,Basophil count,cg24308560,106528,29,ivw_re,-0.0015089742579177403,0.0032517871351178253,-0.007882477042748678,0.004864528526913197,0.6426157926005809,3.078657767607851e-08,576.5815219388185,0.8671442020634345
Basophil,GCST90018946,Basophil count,cg25753631,12268,29,ivw_re,0.0030461049327987814,0.0034210093945093493,-0.0036590734804395433,0.009751283346037106,0.37324515378612344,0.004237254689109959,333.18061369475754,0.6239321973738183
Basophil,GCST90018946,Basophil count,cg27360567,106528,20,ivw_re,-0.007735886820978999,0.005167783444438762,-0.017864742372078975,0.0023929687301209746,0.13440760840650026,6.180035634906211e-07,355.26006743156677,0.35166611981907847
DBP,GCST90310295,Diastolic blood pressure,cg00387872,12268,54,ivw_re,0.06799798999018623,0.04824481046828136,-0.026561838527645223,0.1625578185080177,0.15870617938084494,0.0,549.5690036314566,0.3864150454490138
DBP,GCST90310295,Diastolic blood pressure,cg15445000,84604,13,ivw_re,-0.024017073966105563,0.04125308751793962,-0.10487312550126723,0.0568389775690561,0.5604397051783552,0.0035058203611109673,459.3382319883263,0.804733935640715
DBP,GCST90310295,Diastolic blood pressure,cg18129748,106528,4,ivw_re,-0.00997566679334391,0.37843214468090514,-0.751702670367918,0.7317513367812302,0.9789697864674469,1.7888932557497128e-09,93.81870373504762,0.9972279397678887
DBP,GCST90310295,Diastolic blood pressure,cg19490609,12268,20,ivw_re,0.20295846457282596,0.1102813623213463,-0.013193005577012806,0.4191099347226647,0.06571399623084828,0.0,146.33751840034387,0.22302932054106084
DBP,GCST90310295,Diastolic blood pressure,cg24308560,106528,28,ivw_re,-0.05991852342866083,0.04852492366919302,-0.15502737382027915,0.035190326962957486,0.21690534874536638,0.0,588.6309992605945,0.4463737845428956
DBP,GCST90310295,Diastolic blood pressure,cg25753631,12268,29,ivw_re,0.18398554780571466,0.08236661922873652,0.022546974117391094,0.3454241214940382,0.02550023678950262,0.0,333.18061369475754,0.12417506610540406
DBP,GCST90310295,Diastolic blood pressure,cg27360567,106528,19,ivw_re,-0.15331298748722758,0.07048387724186099,-0.2914613868812751,-0.015164588093180026,0.029618896859940083,0.0,366.9053775609407,0.1382215186797204
Eosinophil,GCST90002381,Eosinophil count,cg00387872,12268,58,ivw_re,-0.002295258168894318,0.004111347926557556,-0.010353500104947127,0.0057629837671584905,0.5766573766046779,0.0,736.7876238675574,0.8170170648977845
