region_id,direction,final_call,module
100469,hyper,deprioritized,blue
100550,hyper,tube_robust,blue
10080,hypo,tube_robust,turquoise
105197,hypo,tube_robust,turquoise
105240,hyper,tube_robust,blue
105670,hyper,deprioritized,blue
105675,hyper,sensitivity_only,blue
105900,hypo,tube_robust,turquoise
1165,hyper,high_confidence,blue
1211,hyper,tube_robust,blue
12122,hyper,sensitivity_only,blue
12268,hypo,tube_robust,turquoise
12522,hypo,tube_robust,turquoise
13179,hyper,tube_robust,grey
13180,hyper,tube_robust,grey
13497,hypo,sensitivity_only,turquoise
14324,hypo,sensitivity_only,turquoise
16058,hypo,sensitivity_only,turquoise
16641,hypo,sensitivity_only,turquoise
1673,hyper,tube_robust,grey
1769,hyper,core_tube_robust,blue
18201,hyper,deprioritized,blue
18867,hyper,deprioritized,blue
21206,hyper,deprioritized,blue
22275,hypo,tube_robust,turquoise
22387,hypo,tube_robust,turquoise
22933,hypo,sensitivity_only,turquoise
2482,hypo,tube_robust,turquoise
258,hypo,tube_robust,turquoise
26198,hyper,deprioritized,blue
26358,hyper,deprioritized,blue
27412,hypo,sensitivity_only,turquoise
27720,hyper,sensitivity_only,blue
28364,hypo,tube_robust,grey
2861,hyper,high_confidence,blue
2887,hypo,sensitivity_only,turquoise
2925,hyper,tube_robust,blue
29437,hypo,sensitivity_only,turquoise
30451,hypo,tube_robust,turquoise
30748,hypo,tube_robust,turquoise
31006,hyper,core_tube_robust,turquoise
31435,hypo,tube_robust,turquoise
31606,hypo,tube_robust,turquoise
31974,hypo,tube_robust,turquoise
31975,hyper,deprioritized,blue
32352,hypo,sensitivity_only,turquoise
3260,hyper,sensitivity_only,blue
33406,hyper,tube_robust,blue
3554,hypo,tube_robust,turquoise
36931,hyper,core_tube_robust,blue
37915,hypo,sensitivity_only,turquoise
38022,hyper,high_confidence,blue
38071,hyper,tube_robust,blue
40427,hypo,sensitivity_only,turquoise
43097,hypo,sensitivity_only,grey
47283,hyper,sensitivity_only,blue
49802,hypo,tube_robust,turquoise
50400,hypo,core_tube_robust,grey
52552,hypo,sensitivity_only,turquoise
547,hypo,core_tube_robust,grey
54793,hyper,tube_robust,blue
55768,hyper,tube_robust,blue
58104,hypo,sensitivity_only,turquoise
5890,hypo,sensitivity_only,turquoise
5909,hypo,sensitivity_only,turquoise
59865,hyper,tube_robust,grey
59878,hypo,tube_robust,turquoise
603,hypo,high_confidence,grey
612,hypo,sensitivity_only,turquoise
61706,hypo,tube_robust,turquoise
61757,hypo,tube_robust,turquoise
61928,hypo,tube_robust,turquoise
63007,hypo,tube_robust,turquoise
63782,hypo,sensitivity_only,turquoise
63788,hyper,deprioritized,grey
64783,hypo,sensitivity_only,turquoise
66253,hyper,sensitivity_only,blue
66533,hypo,tube_robust,turquoise
66651,hyper,tube_robust,blue
67054,hypo,tube_robust,turquoise
69721,hypo,tube_robust,turquoise
70418,hyper,tube_robust,blue
71018,hyper,tube_robust,grey
71427,hypo,tube_robust,turquoise
81213,hyper,deprioritized,blue
81229,hyper,tube_robust,blue
83412,hypo,sensitivity_only,turquoise
84604,hypo,sensitivity_only,turquoise
86046,hyper,sensitivity_only,blue
87303,hypo,tube_robust,turquoise
87376,hyper,tube_robust,blue
88335,hyper,tube_robust,blue
89338,hypo,tube_robust,turquoise
8983,hypo,sensitivity_only,turquoise
91132,hyper,tube_robust,blue
93132,hypo,sensitivity_only,turquoise
95458,hypo,tube_robust,turquoise
97752,hyper,core_tube_robust,blue
99952,hypo,tube_robust,turquoise
