module,trait,r,p
MEgrey,Mono,0.52033771210345,1.04747335337144e-05
MEblue,PE,0.487134801988944,4.46339616966673e-05
MEblue,NK,-0.451753775870132,0.000178912706010776
MEturquoise,Mono,0.423071285653537,0.000495905665775423
MEgrey,CD8Tmem,0.373818790319512,0.00234430287579027
MEblue,Bnv,0.353694544661312,0.00414263317272511
MEturquoise,Bnv,-0.312574526031606,0.0119145006558955
MEbrown,CD4Tmem,0.286675745677454,0.0216393723679297
MEbrown,CD4Tnv,-0.285511137658421,0.0222016983061366
MEblue,CD4Tmem,0.261011508793543,0.0372331820615212
MEturquoise,CD8Tmem,0.259109684745379,0.038689298874646
MEbrown,PE,0.242782050486208,0.0532356334476042
MEgrey,Neu,-0.235939896350174,0.0605303156699447
MEgrey,Eos,-0.22809470229035,0.0698671180623398
MEturquoise,PE,-0.224450736651048,0.0745795026012014
MEblue,Baso,0.222377458859489,0.0773716724695888
MEblue,CD8Tmem,0.203353653421746,0.107037039111369
MEturquoise,Neu,-0.200597251610021,0.111981231957771
MEturquoise,Baso,-0.181314456908604,0.151617341301615
MEblue,Treg,-0.178162892203538,0.15898048073673
MEgrey,CD8Tnv,0.134710164461531,0.288559183680676
MEturquoise,CD4Tnv,0.133475096223512,0.29304327840074
MEbrown,Bmem,0.131474780446659,0.300402000555675
MEgrey,CD4Tmem,-0.119851964763243,0.345515029871707
MEbrown,Bnv,-0.112423942701815,0.37644049628247
MEblue,CD4Tnv,-0.112291073547312,0.37700841109388
MEgrey,Bmem,0.111399965209915,0.380830527507572
MEturquoise,CD8Tnv,0.10644379504663,0.402508805550132
MEblue,Eos,0.104345167352681,0.411901375946177
MEgrey,NK,-0.0993720445291034,0.434658677888796
MEturquoise,Treg,-0.0932005431810532,0.463859974916959
MEgrey,CD4Tnv,0.0909208378728415,0.474910132143186
MEgrey,PE,-0.0904752682951236,0.477086237804751
MEbrown,NK,-0.0843607247774388,0.507479595889707
MEturquoise,Eos,-0.0821863128021664,0.518521924256845
MEbrown,Baso,-0.0796960302025606,0.531315452887676
MEbrown,Treg,0.0789096790577937,0.535387422802872
MEturquoise,CD4Tmem,-0.0701780045025221,0.581606976857929
MEblue,Neu,0.0699182932710879,0.5830091090881
MEbrown,Eos,0.0687172676474412,0.589513132410097
MEbrown,Neu,0.0529205163270957,0.677914103287617
MEblue,Bmem,-0.0463926111336233,0.715841502596025
MEturquoise,NK,0.0425541591987676,0.738473959403776
MEblue,Mono,0.0392469862506257,0.758153607901144
MEgrey,Bnv,-0.0338073321091584,0.790852368646494
MEturquoise,Bmem,-0.0286258261516593,0.822337884167369
MEblue,CD8Tnv,0.0284374648527143,0.82348806448144
MEbrown,Mono,0.0279169657969508,0.826668276224921
MEgrey,Baso,-0.0253625244242271,0.84231503556707
MEgrey,Treg,-0.0245981150543402,0.847009406909619
MEbrown,CD8Tnv,-0.0185937133737415,0.884055173024842
MEbrown,CD8Tmem,-0.0177044744013018,0.889564647442271
