cell,delta_f,stage,r2,ci_lo,ci_hi,cohort
Neutrophils,0.0709653088381632,Normal_1stT,0.546313247619966,0.0182510570588587,0.12608182502114,GSE154378_cfDNA
Neutrophils,0.0637708812025161,Normal_2ndT,0.730652218602205,0.00783267907878421,0.113607822061119,GSE154378_cfDNA
Neutrophils,-0.0767738256027793,Normal_3rdT,0.912924954712108,-0.129761378126405,-0.0205325071067267,GSE154378_cfDNA
Neutrophils,-0.0585239035953197,Normal_delivery,0.875706829630614,-0.10612681247405,-0.00852895547806174,GSE154378_cfDNA
T-cells,-0.0745284006807799,Normal_1stT,0.546313247619966,-0.144024012615123,-0.00313091626871751,GSE154378_cfDNA
T-cells,-0.044095297484339,Normal_2ndT,0.730652218602205,-0.102882510142938,0.0195897998264532,GSE154378_cfDNA
T-cells,-0.101011820890156,Normal_3rdT,0.912924954712108,-0.16338804267656,-0.0324101431851685,GSE154378_cfDNA
T-cells,-0.156099218829509,Normal_delivery,0.875706829630614,-0.221389800377123,-0.0955903169405222,GSE154378_cfDNA
Placenta,0.0463186502448414,Normal_1stT,0.546313247619966,0.0209383030980063,0.0719810733918632,GSE154378_cfDNA
Placenta,0.0335390278953376,Normal_2ndT,0.730652218602205,0.00777508300593536,0.0553840842690016,GSE154378_cfDNA
Placenta,0.230375250586878,Normal_3rdT,0.912924954712108,0.199837764777243,0.257451389161961,GSE154378_cfDNA
Placenta,0.258410669755189,Normal_delivery,0.875706829630614,0.229384264548079,0.287423419595642,GSE154378_cfDNA
Neutrophils,0.0171753414817324,delivery,0.645827625429468,-0.00528099163206718,0.0455624531246424,GSE37722_leukocyte
Neutrophils,0.0056201839242601,early,0.944472460475704,-0.00958124600539482,0.0247426639045855,GSE37722_leukocyte
Neutrophils,0.0245591810097338,middle,0.785576926226351,0.00535190335519552,0.0530232591501743,GSE37722_leukocyte
Neutrophils,-0.0112383637175889,postpartum,-2.61528848841108,-0.0202496170626907,-0.00329346711414859,GSE37722_leukocyte
T-cells,-0.0174888425285523,delivery,0.645827625429468,-0.0519291450403801,0.0172077306172737,GSE37722_leukocyte
T-cells,-0.00496456319489825,early,0.944472460475704,-0.0247457915066697,0.0197552141413355,GSE37722_leukocyte
T-cells,-0.034429638672715,middle,0.785576926226351,-0.0693383385495163,-0.00595866245213393,GSE37722_leukocyte
T-cells,0.0411855117379469,postpartum,-2.61528848841108,0.0275737426518533,0.0607236406911631,GSE37722_leukocyte
