region_id,chr,start,end,symbol,direction,delta_beta,n_cpg,n_cpg_with_mqtl,pct_cpg_mqtl,n_mqtl_pairs
97752,chr17,29585000,29586201,,hyper,0.197269388692065,1,0,0.0,0
36931,chr1,629151,633150,LOC101928626,hyper,0.20962834769094,8,0,0.0,0
1769,chr1,586945,727211,OR4F16,hyper,0.20832985692703,8,0,0.0,0
547,chr1,53183346,53191509,LOC105378724,hypo,-0.224723600994815,2,1,50.0,1
66523,chr19,50925572,50929571,PPIAP59,hypo,-0.104816615361161,0,0,,0
50400,chr8,134754512,134758511,LOC124902071,hypo,-0.124418266941961,0,0,,0
31006,chr19,23399092,23416186,LINC01224,hyper,0.122974789328051,1,0,0.0,0
6569,chr3,122514961,122518172,LOC107984000,hyper,0.101570779316303,8,2,25.0,330
23757,chr14,39432429,39514455,LOC105370460,hyper,0.125352491048025,10,2,20.0,186
23893,chr14,69726900,69772005,SRSF5,hyper,0.110396742887594,28,2,7.1,61
58964,chr14,52705178,52709177,PSMC6,hyper,0.102298982685001,7,0,0.0,0
6660,chr3,133661926,133671344,LOC124909487,hyper,0.117265139826185,10,0,0.0,0
5447,chr2,127298668,127388465,MAP3K2,hyper,0.1128286524489,12,2,16.7,458
19524,chr11,66052331,66069308,SF3B2,hyper,0.111814569907882,10,3,30.0,682
104598,chr1,148149000,148152801,,hyper,0.121873187372725,2,0,0.0,0
16074,chr9,32551144,32568621,TZMP1,hyper,0.118950376760145,9,2,22.2,183
27285,chr17,2303383,2325260,SRR,hyper,0.101857145051074,15,6,40.0,4127
13934,chr7,16599779,16645817,ANKMY2,hyper,0.1040738291932,11,0,0.0,0
46470,chr6,8100711,8104710,LOC105374910,hyper,0.107614197194624,14,6,42.9,3006
46471,chr6,8100737,8104736,LOC105374911,hyper,0.107614197194624,0,0,,0
47344,chr6,8100560,8104559,EEF1E1-BLOC1S5,hyper,0.107614197194624,0,0,,0
47345,chr6,8100549,8104548,EEF1E1,hyper,0.107625753232917,0,0,,0
73424,chr6,8100000,8103401,,hyper,0.107548282105926,0,0,,0
9733,chr5,53109816,53127673,MOCS2-DT,hyper,0.11242712961346,7,4,57.1,1345
22142,chr12,49097136,49110900,LMBR1L,hyper,0.118732158788129,6,0,0.0,0
31774,chr20,38346482,38377013,LBP,hypo,-0.103987066223274,3,3,100.0,111
31975,chr20,62387103,62388520,RPS21,hyper,0.134947340294067,3,0,0.0,0
25460,chr15,40686161,40695128,RAD51-AS1,hyper,0.113009761526867,11,0,0.0,0
66761,chr20,10433305,10437304,SLX4IP,hyper,0.113342164148886,18,4,22.2,855
104782,chr10,68330000,68337201,,hyper,0.100950206826913,22,2,9.1,74
20971,chr12,389273,442642,CCDC77,hyper,0.10931009469254,32,7,21.9,1432
52982,chr10,68329174,68333173,HNRNPH3,hyper,0.100818885224743,1,0,0.0,0
24387,chr14,45115599,45135319,FKBP3,hyper,0.123618754568099,10,0,0.0,0
51775,chr9,131123573,131127572,NUP214,hyper,0.111460880115084,7,3,42.9,599
26198,chr16,30096363,30105193,YPEL3-DT,hyper,0.129729790928752,9,3,33.3,655
73693,chr2,121754400,121757601,,hyper,0.103413308505491,9,0,0.0,0
36496,chr1,179880042,179884041,TOR1AIP1,hyper,0.121282579310014,15,0,0.0,0
81182,chr1,179880600,179884801,,hyper,0.120998269888619,0,0,,0
1293,chr1,171781660,171814023,METTL13,hyper,0.100878884628961,11,5,45.5,3766
27908,chr17,67717931,67744531,NOL11,hyper,0.111840295538629,9,0,0.0,0
2387,chr1,77944055,77979110,FUBP1,hyper,0.112358359016758,10,2,20.0,1155
