region_id,p_limma,fdr_limma,p_wilcox,fdr_wilcox,gene_id,chr,start,end,type,reg_id,symbol,beta_pe,beta_ctrl,delta_beta,direction,candidate,n_tested,n_sig_nom,min_p,n_pos,agree_pct,validation,delta_beta_edta,p_edta,fdr_edta,delta_beta_pax,p_pax,delta_beta_eope,p_eope,fdr_eope,p_inter,fdr_inter,sens_flag,eo_flag,final_call,lf_placenta_meta,p_placenta_meta,n_placenta_meta,npos_placenta_meta,lf_blood_meta,p_blood_meta,n_blood_meta,npos_blood_meta,region_class,expr_expected,dir_match_pl
36931,6.19109780031119e-06,0.00208902569486781,0.00239164942934988,0.0548551615523501,101928626,chr1,629151,633150,promoter_TSS2kb,"",LOC101928626,0.568884477004213,0.359256129313273,0.20962834769094,hyper,TRUE,2,2,0.000611762928474535,2,100,direction_consistent,0.274050152852781,0.000737248964392864,0.0367351365618197,0.131306770035862,0.255209601355401,0.24895294230747,0.000142353261971665,0.041112378246746,0.45101613972651,0.83428392430294,tube_robust_fdr,eope_fdr,core_tube_robust,,,,,,,,,promoter,-1,
1769,1.73168257062065e-05,0.00370377534139646,0.00158563720270632,0.0436038308660008,81399,chr1,586945,727211,gene_body,"",OR4F16,0.608629761903171,0.400299904976142,0.20832985692703,hyper,TRUE,4,2,0.000611762928474535,3,75,direction_consistent,0.252071298151545,0.000911121753080619,0.0401514790732573,0.147994369846963,0.169691793377946,0.228249018040973,0.000445913254216792,0.0630726220525293,0.42253053330506,0.820343546294685,tube_robust_fdr,eope_nominal,core_tube_robust,0.0695712328131433,1.8940830159735,2,1,-0.104671014887458,1.85226363413526,1,0,genebody,-1,0
547,3.96461878236427e-05,0.00549692887447078,2.06479504453452e-05,0.00387270840814387,105378724,chr1,53183346,53191509,gene_body,"",LOC105378724,0.579958825953237,0.804682426948052,-0.224723600994815,hypo,TRUE,1,0,0.229593139937968,0,100,direction_consistent,-0.23156637797532,8.25087119525982e-05,0.0169018904242399,,,-0.18763012107587,0.000136608864074439,0.040773647658506,0.297088766385536,0.760687731930795,tube_robust_fdr,eope_fdr,core_tube_robust,,,,,,,,,genebody,1,
66523,0.000331802519639864,0.0166804540820598,0.00120115589654515,0.0374448837629821,390956,chr19,50925572,50929571,promoter_TSS2kb,"",PPIAP59,0.76918294637563,0.87399956173679,-0.104816615361161,hypo,TRUE,7,1,0.0420330452863421,0,100,direction_consistent,-0.130591999402041,0.000315885464854257,0.0261547022055181,-0.0437941886032334,0.414652610770822,-0.116447105231362,0.000962193461776388,0.08768526461554,0.0471805720576806,0.628769843037646,tube_robust_fdr,eope_nominal,core_tube_robust,,,,,,,,,promoter,1,
50400,0.00097484878500649,0.0306438499895379,0.000560500806656256,0.0239064215774296,124902071,chr8,134754512,134758511,promoter_TSS2kb,"",LOC124902071,0.603581034104215,0.727999301046176,-0.124418266941961,hypo,TRUE,2,1,0.0058248907286912,0,100,direction_consistent,-0.147984450772361,0.00028622773679693,0.0252875684684309,,,-0.143049856787598,0.00397789028363873,0.166591677162273,0.15652823903511,0.68387145935665,tube_robust_fdr,eope_nominal,core_tube_robust,,,,,,,,,promoter,1,
31006,0.00195487045518059,0.0454435650575224,0.00603734765970621,0.0926358729254222,104472717,chr19,23399092,23416186,gene_body,"",LINC01224,0.233080516019533,0.110105726691482,0.122974789328051,hyper,TRUE,12,0,0.162946497483869,10,83.3333333333333,direction_consistent,0.146960624782857,0.000151832430356741,0.0199887126485542,0.0621280664461823,0.462208875891286,0.0930816790203097,0.00440230370151241,0.17367422348082,0.0899669686781637,0.64405009051383,tube_robust_fdr,eope_nominal,core_tube_robust,,,,,-0.0676699392928631,1.20297095276054,1,0,genebody,-1,
6569,8.57157194590011e-09,9.99630690044494e-05,2.72021035010265e-07,0.000585229254968556,107984000,chr3,122514961,122518172,gene_body,"",LOC107984000,0.505689363494377,0.404118584178074,0.101570779316303,hyper,TRUE,28,2,0.0452378904234847,18,64.2857142857143,unconfirmed,0.115773489013494,3.09379396054059e-08,0.00113978463300276,0.0529411363179211,0.175676585922479,0.0978458886370647,1.48835067334172e-05,0.0156028080752061,0.0141658814363369,0.628769843037646,tube_robust_fdr,eope_fdr,deprioritized,,,,,,,,,genebody,-1,
23757,4.77454031941269e-08,0.000195551359698788,3.10327586172411e-08,0.000213065898478784,105370460,chr14,39432429,39514455,gene_body,"",LOC105370460,0.371667158996306,0.246314667948281,0.125352491048025,hyper,TRUE,36,0,0.150314945875434,10,27.7777777777778,unconfirmed,0.117303577864783,9.79538907737256e-06,0.00722416346845088,0.121212572453604,0.00232454957364657,0.142731130448725,5.11201857064502e-08,0.0037455248865259,0.419972433123793,0.81939363678432,tube_robust_fdr,eope_fdr,deprioritized,,,,,,,,,genebody,-1,
23893,1.07140787194579e-07,0.000290264233396631,3.54665487252448e-07,0.000629279373793879,6430,chr14,69726900,69772005,gene_body,"",SRSF5,0.447430517524283,0.337033774636689,0.110396742887594,hyper,TRUE,155,2,0.00425926796264554,48,30.9677419354839,unconfirmed,0.124759187096068,3.095584955369e-06,0.005516021668539,0.0581853675441368,0.0704327183069493,0.116912208395285,4.88474330886042e-06,0.0102257216427684,0.232726972111264,0.723680005572956,tube_robust_fdr,eope_fdr,deprioritized,0.313032470259097,1.99999999999688,6,6,0.00089601126163152,1.03110269084632,2,1,genebody,-1,0
58964,9.99084811482804e-08,0.000290264233396631,1.16436242603161e-06,0.00100200920869835,5706,chr14,52705178,52709177,promoter_TSS2kb,"",PSMC6,0.435921742988045,0.333622760303043,0.102298982685001,hyper,TRUE,77,2,0.0121671224462936,29,37.6623376623377,unconfirmed,0.111915161300148,5.26689198271287e-05,0.015278548624813,0.0666156089628718,0.00180471632134166,0.100394969711916,7.29532547667675e-06,0.0125857345927247,0.283114750618119,0.752476635906694,tube_robust_fdr,eope_fdr,deprioritized,-0.0996216231557893,1.99995141833992,6,2,-0.00666106167669577,1.07869145459459,2,1,promoter,-1,1
6660,1.8278046740073e-07,0.00036029981265862,2.48783530364006e-07,0.000568688052470823,124909487,chr3,133661926,133671344,gene_body,"",LOC124909487,0.420460690801954,0.303195550975769,0.117265139826185,hyper,TRUE,43,0,0.0622395109752709,13,30.2325581395349,unconfirmed,0.147320110122463,2.387027695727e-08,0.00113978463300276,0.0337248490453572,0.383437196235759,0.122566266547712,1.83619079564501e-06,0.00734711148624431,0.047319049562411,0.628769843037646,tube_robust_fdr,eope_fdr,deprioritized,,,,,,,,,genebody,-1,
5447,2.51306248861094e-07,0.000422667580974362,9.35865261840362e-06,0.00262286100280072,10746,chr2,127298668,127388465,gene_body,"",MAP3K2,0.372992467701329,0.260163815252429,0.1128286524489,hyper,TRUE,273,8,0.000108159660195821,90,32.967032967033,unconfirmed,0.108182661552551,0.000170782538414551,0.020561436267093,0.0905813473652323,0.0406384901109481,0.128280554639954,2.17474431928867e-05,0.0173197110358654,0.668179514484506,0.911848568599703,tube_robust_fdr,eope_fdr,deprioritized,0.00855277511864796,1.20567898180958,6,4,-0.0154057880758559,1.27592331289978,2,1,genebody,-1,0
19524,3.01059854020869e-07,0.000486022385623214,6.48561182586669e-06,0.00224838641629619,10992,chr11,66052331,66069308,gene_body,"",SF3B2,0.511109199036491,0.39929462912861,0.111814569907882,hyper,TRUE,32,1,0.017511248034519,8,25,unconfirmed,0.114911152768957,8.0727404290365e-05,0.0169018904242399,0.117163343267773,0.00709821558632808,0.121112613005753,3.1091317088734e-06,0.00823353611723697,0.855101853555222,0.964670690741478,tube_robust_fdr,eope_fdr,deprioritized,-0.0222574168720406,1.51627900364442,6,1,0.0363061499950402,1.66471204515203,2,1,genebody,-1,1
16074,4.88986664911436e-07,0.000659499435465805,1.48708147960023e-06,0.00116964554913761,100129250,chr9,32551144,32568621,gene_body,"",TZMP1,0.428390628481123,0.309440251720978,0.118950376760145,hyper,TRUE,113,2,0.00817739667187074,43,38.0530973451327,unconfirmed,0.119259735638394,3.46965956166441e-05,0.0132818489105261,0.0893513858905148,0.0276968392043229,0.130546326287375,4.30148502950966e-06,0.00984892208209824,0.965851212842921,0.991037670847311,tube_robust_fdr,eope_fdr,deprioritized,,,,,,,,,genebody,-1,
27285,5.51729914588263e-07,0.000662491263806185,1.73294007216698e-07,0.000452718215710252,63826,chr17,2303383,2325260,gene_body,"",SRR,0.40434065627762,0.302483511226546,0.101857145051074,hyper,TRUE,235,17,0.00406003765440666,103,43.8297872340426,unconfirmed,0.112408958125092,2.6815814723778e-06,0.00534011583912814,0.0676455222198522,0.0308877536112555,0.100319228208087,1.80135604584511e-05,0.0168686142318886,0.246615596685013,0.731148287903941,tube_robust_fdr,eope_fdr,deprioritized,-0.0951228043665001,1.99858103200833,6,1,-0.0118371861363913,1.28094385592616,2,1,genebody,-1,1
13934,6.44995663847339e-07,0.000725848351063156,3.74489129963055e-05,0.00514908475160481,57037,chr7,16599779,16645817,gene_body,"",ANKMY2,0.567091907208083,0.463018078014883,0.1040738291932,hyper,TRUE,46,2,0.0132530639623134,18,39.1304347826087,unconfirmed,0.124162761508527,1.88146382916119e-05,0.0104509161850904,0.0567649362587376,0.362632178600023,0.119637825103512,6.92555126663002e-06,0.012376297945237,0.553094013762131,0.876049563004468,tube_robust_fdr,eope_fdr,deprioritized,-0.0054436604161773,1.12641604472496,6,3,0.0354095165175076,1.56734609947761,2,1,genebody,-1,1
