cpg,beta_pe_t,beta_ct_t,delta_t,cohort,z
cg00487351,0.0270811290322581,0.0253966678571429,0.00168446117511521,GSE57767,0.000512769286798245
cg02974126,0.0450763938709677,0.0398219292857143,0.00525446458525346,GSE57767,0.359727079858942
cg04053200,0.0244147335483871,0.0277714557142857,-0.00335672216589862,GSE57767,-0.506731899770795
cg04468551,0.295802980645161,0.264938928571429,0.0308640520737327,GSE57767,2.9365678435362
cg09804503,0.809620423333333,0.833070492857143,-0.0234500695238096,GSE57767,-2.52852770471628
cg13024018,0.0160061185483871,0.0126227947142857,0.00338332383410138,GSE57767,0.171452600064396
cg13943052,0.0787932412903226,0.0682083014285714,0.0105849398617512,GSE57767,0.896080349447226
cg14218504,0.0222511538709677,0.0198137728571429,0.00243738101382488,GSE57767,0.0762716831326853
cg18862094,0.0639565212903226,0.0604965971428571,0.00345992414746543,GSE57767,0.179160135770534
cg18882201,0.0542210029032258,0.0529111942857143,0.00130980861751152,GSE57767,-0.0371848306094684
cg19003430,0.0705062061290323,0.0737901215384615,-0.00328391540942928,GSE57767,-0.499406072362379
cg20814826,0.0360022193548387,0.0374955278571429,-0.00149330850230415,GSE57767,-0.319234920754498
cg21142153,0.0649748177419355,0.0650578785714286,-8.30608294930812e-05,GSE57767,-0.177335575760545
cg21745320,0.0685533209677419,0.0688930107142857,-0.000339689746543789,GSE57767,-0.203157618184778
cg22711274,0.06531591,0.0594237664285714,0.00589214357142857,GSE57767,0.423890440805526
cg24132527,0.0935804680645161,0.10039658,-0.00681611193548387,GSE57767,-0.854816248248705
cg24980367,0.08199858,0.085099505,-0.00310092499999999,GSE57767,-0.480993548279689
cg25224543,0.05508629,0.050777985,0.00430830500000001,GSE57767,0.264524352000796
cg27564939,0.0165538682258065,0.0119009323571429,0.0046529358686636,GSE57767,0.29920116478403
cg00487351,0.0130938333157895,0.0124859239411765,0.000607909374613002,GSE73375,-0.0301882452014441
cg02974126,0.0327210426315789,0.0323175811764706,0.000403461455108362,GSE73375,-0.0417130974614962
cg04053200,0.0102051559473684,0.0106208265294118,-0.000415670582043344,GSE73375,-0.0878880633526736
cg04468551,0.269801326842105,0.250822788235294,0.0189785386068111,GSE73375,1.0053751801357
cg09804503,0.784984921052632,0.851971788235294,-0.0669868671826625,GSE73375,-3.84054647854191
cg13024018,0.007293398,0.0102044318235294,-0.00291103382352941,GSE73375,-0.228553190994821
cg13943052,0.0705075689473684,0.0634014311764706,0.00710613777089784,GSE73375,0.336120800156968
cg14218504,0.0144948006111111,0.0119772427647059,0.00251755784640523,GSE73375,0.0774597883875709
cg18862094,0.0577817363157895,0.0517866205882353,0.00599511572755418,GSE73375,0.273491818956177
cg18882201,0.0493702478947369,0.0487812158823529,0.000589032012383903,GSE73375,-0.0312523734707705
cg19003430,0.0806020194736842,0.0674674976470588,0.0131345218266254,GSE73375,0.675944437283962
cg20814826,0.02162165,0.0221514529411765,-0.000529802941176473,GSE73375,-0.0943217731223182
cg21142153,0.0550643394736842,0.0508630617647059,0.00420127770897833,GSE73375,0.172372090310163
cg21745320,0.0665060421052632,0.05712872,0.00937732210526316,GSE73375,0.464148827892956
cg22711274,0.0248828853684211,0.0265693455294118,-0.00168646016099071,GSE73375,-0.159523236684187
cg24132527,0.107642935789474,0.0873203194117647,0.020322616377709,GSE73375,1.08114165295259
cg24980367,0.07654915,0.0732396017647059,0.00330954823529411,GSE73375,0.122104763232221
cg25224543,0.0444676457894737,0.0390687994117647,0.00539884637770898,GSE73375,0.239879756868124
cg27564939,0.0173237923684211,0.0150104623529412,0.00231333001547988,GSE73375,0.0659473426531833
cg00487351,0.065362917375,0.067569957375,-0.00220704000000001,GSE75196,0.116789467500036
cg02974126,0.063042029625,0.0652766234375,-0.00223459381250001,GSE75196,0.114626182100411
cg04053200,0.06057316625,0.061307107875,-0.000733941625000005,GSE75196,0.232444323133844
cg04468551,0.242306863,0.2941221265,-0.0518152635,GSE75196,-3.77801621860508
cg09804503,0.859310434,0.8725275271875,-0.0132170931875001,GSE75196,-0.747624025536961
cg13024018,0.037100527,0.036153323625,0.000947203375000004,GSE75196,0.364433187947099
cg13943052,0.047311758375,0.0467266524375,0.000585105937499997,GSE75196,0.336004450552398
cg14218504,0.042699861375,0.043363126375,-0.000663264999999996,GSE75196,0.237993236227351
cg18862094,0.049710474125,0.0487566694375,0.000953804687500004,GSE75196,0.364951465515752
cg18882201,0.047680774875,0.044174582125,0.00350619275,GSE75196,0.565342748202417
cg19003430,0.10346996175,0.1072967060625,-0.00382674431249999,GSE75196,-0.010375609599206
cg20814826,0.063059815875,0.069773025375,-0.00671320950000001,GSE75196,-0.236995718763557
cg21142153,0.0592680465,0.0562204185,0.003047628,GSE75196,0.52934023753506
cg21745320,0.061622199375,0.055393416375,0.006228783,GSE75196,0.779096824411865
cg22711274,0.160387447125,0.16121694075,-0.000829493625000011,GSE75196,0.224942412227506
cg24132527,0.09642352325,0.1054385039375,-0.00901498068749999,GSE75196,-0.417710746972295
cg24980367,0.08181384275,0.071976751,0.00983709175,GSE75196,1.06238980378499
cg25224543,0.064163465375,0.0662506208125,-0.00208715543750002,GSE75196,0.126201759308897
cg27564939,0.033579410125,0.035539648,-0.001960237875,GSE75196,0.136166221029475
