region_id,site,n_pe,n_ctrl,beta_pe,beta_ctrl,delta,p,fdr,dir_site,pos,chr,type,symbol
258,chr1_25041246,0,1,,,,,,,25041246,chr1,gene_body,LINC02793
258,chr1_25041336,1,0,,,,,,,25041336,chr1,gene_body,LINC02793
258,chr1_25041365,1,0,,,,,,,25041365,chr1,gene_body,LINC02793
258,chr1_25041845,0,1,,,,,,,25041845,chr1,gene_body,LINC02793
258,chr1_25041854,0,1,,,,,,,25041854,chr1,gene_body,LINC02793
258,chr1_25041858,0,1,,,,,,,25041858,chr1,gene_body,LINC02793
258,chr1_25041952,2,0,,,,,,,25041952,chr1,gene_body,LINC02793
258,chr1_25042017,2,0,,,,,,,25042017,chr1,gene_body,LINC02793
258,chr1_25042045,1,0,,,,,,,25042045,chr1,gene_body,LINC02793
258,chr1_25042312,1,1,,,,,,,25042312,chr1,gene_body,LINC02793
258,chr1_25042465,0,1,,,,,,,25042465,chr1,gene_body,LINC02793
258,chr1_25042809,1,1,,,,,,,25042809,chr1,gene_body,LINC02793
258,chr1_25043006,0,1,,,,,,,25043006,chr1,gene_body,LINC02793
258,chr1_25043085,0,2,,,,,,,25043085,chr1,gene_body,LINC02793
258,chr1_25043148,1,0,,,,,,,25043148,chr1,gene_body,LINC02793
258,chr1_25043178,1,0,,,,,,,25043178,chr1,gene_body,LINC02793
258,chr1_25043279,2,2,,,,,,,25043279,chr1,gene_body,LINC02793
258,chr1_25043317,2,2,,,,,,,25043317,chr1,gene_body,LINC02793
258,chr1_25043334,3,0,,,,,,,25043334,chr1,gene_body,LINC02793
258,chr1_25043335,4,2,,,,,,,25043335,chr1,gene_body,LINC02793
258,chr1_25043340,24,28,0.96025974025974,0.89829822954823,0.0619615107115107,0.23787781387958,1,hyper,25043340,chr1,gene_body,LINC02793
258,chr1_25043341,3,2,,,,,,,25043341,chr1,gene_body,LINC02793
258,chr1_25043375,3,10,,,,,,,25043375,chr1,gene_body,LINC02793
258,chr1_25043376,3,1,,,,,,,25043376,chr1,gene_body,LINC02793
258,chr1_25043384,24,28,0.859604978354978,0.921626984126984,-0.0620220057720057,0.376797165324657,1,hypo,25043384,chr1,gene_body,LINC02793
258,chr1_25043385,23,30,0.928360329639102,0.848148148148148,0.0802121814909539,0.726148493982906,1,hyper,25043385,chr1,gene_body,LINC02793
258,chr1_25043396,4,4,,,,,,,25043396,chr1,gene_body,LINC02793
258,chr1_25043479,0,1,,,,,,,25043479,chr1,gene_body,LINC02793
258,chr1_25043480,3,0,,,,,,,25043480,chr1,gene_body,LINC02793
258,chr1_25043511,2,0,,,,,,,25043511,chr1,gene_body,LINC02793
258,chr1_25043512,2,1,,,,,,,25043512,chr1,gene_body,LINC02793
258,chr1_25044548,3,0,,,,,,,25044548,chr1,gene_body,LINC02793
258,chr1_25044556,3,0,,,,,,,25044556,chr1,gene_body,LINC02793
258,chr1_25044579,3,0,,,,,,,25044579,chr1,gene_body,LINC02793
258,chr1_25044626,1,0,,,,,,,25044626,chr1,gene_body,LINC02793
258,chr1_25044635,0,1,,,,,,,25044635,chr1,gene_body,LINC02793
258,chr1_25044677,0,1,,,,,,,25044677,chr1,gene_body,LINC02793
258,chr1_25044679,0,1,,,,,,,25044679,chr1,gene_body,LINC02793
258,chr1_25045289,1,0,,,,,,,25045289,chr1,gene_body,LINC02793
258,chr1_25045297,0,1,,,,,,,25045297,chr1,gene_body,LINC02793
258,chr1_25045298,1,0,,,,,,,25045298,chr1,gene_body,LINC02793
258,chr1_25045448,0,1,,,,,,,25045448,chr1,gene_body,LINC02793
258,chr1_25045449,0,1,,,,,,,25045449,chr1,gene_body,LINC02793
258,chr1_25045451,0,1,,,,,,,25045451,chr1,gene_body,LINC02793
258,chr1_25045452,0,1,,,,,,,25045452,chr1,gene_body,LINC02793
258,chr1_25045616,2,2,,,,,,,25045616,chr1,gene_body,LINC02793
258,chr1_25045708,6,9,,,,,,,25045708,chr1,gene_body,LINC02793
258,chr1_25045879,2,0,,,,,,,25045879,chr1,gene_body,LINC02793
258,chr1_25045880,5,7,,,,,,,25045880,chr1,gene_body,LINC02793
258,chr1_25045928,6,1,,,,,,,25045928,chr1,gene_body,LINC02793
258,chr1_25045929,1,1,,,,,,,25045929,chr1,gene_body,LINC02793
258,chr1_25046023,0,1,,,,,,,25046023,chr1,gene_body,LINC02793
258,chr1_25046055,3,2,,,,,,,25046055,chr1,gene_body,LINC02793
258,chr1_25046056,3,0,,,,,,,25046056,chr1,gene_body,LINC02793
258,chr1_25046088,31,32,0.508759509918757,0.623163087867886,-0.114403577949129,0.144878622264118,1,hypo,25046088,chr1,gene_body,LINC02793
258,chr1_25046089,30,32,0.527150842793258,0.668059646644205,-0.140908803850948,0.142890839010711,1,hypo,25046089,chr1,gene_body,LINC02793
258,chr1_25046117,31,32,0.918852496774263,0.948652913577483,-0.0298004168032195,0.153914960701397,1,hypo,25046117,chr1,gene_body,LINC02793
258,chr1_25046118,30,32,0.967870089218773,0.979659433703551,-0.011789344484778,0.204858065167998,1,hypo,25046118,chr1,gene_body,LINC02793
258,chr1_25046157,1,0,,,,,,,25046157,chr1,gene_body,LINC02793
258,chr1_25046158,31,32,0.96729240623553,0.97768759018759,-0.0103951839520601,0.670645305093304,1,hypo,25046158,chr1,gene_body,LINC02793
258,chr1_25046166,5,0,,,,,,,25046166,chr1,gene_body,LINC02793
258,chr1_25046167,8,8,,,,,,,25046167,chr1,gene_body,LINC02793
258,chr1_25046197,32,32,0.0386069415229637,0.0410201461885992,-0.0024132046656355,0.684702052555205,1,hypo,25046197,chr1,gene_body,LINC02793
258,chr1_25046198,5,0,,,,,,,25046198,chr1,gene_body,LINC02793
258,chr1_25046244,3,1,,,,,,,25046244,chr1,gene_body,LINC02793
258,chr1_25046245,0,1,,,,,,,25046245,chr1,gene_body,LINC02793
258,chr1_25046789,1,0,,,,,,,25046789,chr1,gene_body,LINC02793
258,chr1_25046790,0,1,,,,,,,25046790,chr1,gene_body,LINC02793
258,chr1_25046794,1,0,,,,,,,25046794,chr1,gene_body,LINC02793
258,chr1_25046795,0,1,,,,,,,25046795,chr1,gene_body,LINC02793
258,chr1_25046892,2,1,,,,,,,25046892,chr1,gene_body,LINC02793
258,chr1_25046982,1,0,,,,,,,25046982,chr1,gene_body,LINC02793
258,chr1_25047149,2,2,,,,,,,25047149,chr1,gene_body,LINC02793
547,chr1_53183546,1,0,,,,,,,53183546,chr1,gene_body,LOC105378724
547,chr1_53183583,3,6,,,,,,,53183583,chr1,gene_body,LOC105378724
547,chr1_53183891,1,0,,,,,,,53183891,chr1,gene_body,LOC105378724
547,chr1_53184934,2,0,,,,,,,53184934,chr1,gene_body,LOC105378724
547,chr1_53184945,9,26,,,,,,,53184945,chr1,gene_body,LOC105378724
547,chr1_53185023,9,26,,,,,,,53185023,chr1,gene_body,LOC105378724
547,chr1_53185134,3,0,,,,,,,53185134,chr1,gene_body,LOC105378724
547,chr1_53185135,13,17,0.880090497737557,0.976470588235294,-0.0963800904977376,0.229593139937968,1,hypo,53185135,chr1,gene_body,LOC105378724
547,chr1_53185148,3,0,,,,,,,53185148,chr1,gene_body,LOC105378724
547,chr1_53185149,2,0,,,,,,,53185149,chr1,gene_body,LOC105378724
547,chr1_53185157,1,2,,,,,,,53185157,chr1,gene_body,LOC105378724
547,chr1_53185190,1,2,,,,,,,53185190,chr1,gene_body,LOC105378724
547,chr1_53185380,0,1,,,,,,,53185380,chr1,gene_body,LOC105378724
547,chr1_53185382,0,1,,,,,,,53185382,chr1,gene_body,LOC105378724
547,chr1_53185389,0,1,,,,,,,53185389,chr1,gene_body,LOC105378724
547,chr1_53185727,1,2,,,,,,,53185727,chr1,gene_body,LOC105378724
547,chr1_53185816,1,0,,,,,,,53185816,chr1,gene_body,LOC105378724
547,chr1_53185817,4,0,,,,,,,53185817,chr1,gene_body,LOC105378724
547,chr1_53185839,1,0,,,,,,,53185839,chr1,gene_body,LOC105378724
547,chr1_53185840,4,0,,,,,,,53185840,chr1,gene_body,LOC105378724
547,chr1_53185854,1,0,,,,,,,53185854,chr1,gene_body,LOC105378724
547,chr1_53186793,9,3,,,,,,,53186793,chr1,gene_body,LOC105378724
547,chr1_53187152,0,2,,,,,,,53187152,chr1,gene_body,LOC105378724
547,chr1_53188347,1,0,,,,,,,53188347,chr1,gene_body,LOC105378724
