region_id,p_limma,fdr_limma,p_wilcox,fdr_wilcox,gene_id,chr,start,end,type,reg_id,symbol,beta_pe,beta_ctrl,delta_beta,direction,candidate,n_tested,n_sig_nom,min_p,n_pos,agree_pct,validation
6569,8.57157194590011e-09,9.99630690044494e-05,2.72021035010265e-07,0.000585229254968556,107984000,chr3,122514961,122518172,gene_body,"",LOC107984000,0.505689363494377,0.404118584178074,0.101570779316303,hyper,TRUE,28,2,0.0452378904234847,18,64.2857142857143,unconfirmed
23757,4.77454031941269e-08,0.000195551359698788,3.10327586172411e-08,0.000213065898478784,105370460,chr14,39432429,39514455,gene_body,"",LOC105370460,0.371667158996306,0.246314667948281,0.125352491048025,hyper,TRUE,36,0,0.150314945875434,10,27.7777777777778,unconfirmed
23893,1.07140787194579e-07,0.000290264233396631,3.54665487252448e-07,0.000629279373793879,6430,chr14,69726900,69772005,gene_body,"",SRSF5,0.447430517524283,0.337033774636689,0.110396742887594,hyper,TRUE,155,2,0.00425926796264554,48,30.9677419354839,unconfirmed
58964,9.99084811482804e-08,0.000290264233396631,1.16436242603161e-06,0.00100200920869835,5706,chr14,52705178,52709177,promoter_TSS2kb,"",PSMC6,0.435921742988045,0.333622760303043,0.102298982685001,hyper,TRUE,77,2,0.0121671224462936,29,37.6623376623377,unconfirmed
6660,1.8278046740073e-07,0.00036029981265862,2.48783530364006e-07,0.000568688052470823,124909487,chr3,133661926,133671344,gene_body,"",LOC124909487,0.420460690801954,0.303195550975769,0.117265139826185,hyper,TRUE,43,0,0.0622395109752709,13,30.2325581395349,unconfirmed
5447,2.51306248861094e-07,0.000422667580974362,9.35865261840362e-06,0.00262286100280072,10746,chr2,127298668,127388465,gene_body,"",MAP3K2,0.372992467701329,0.260163815252429,0.1128286524489,hyper,TRUE,273,8,0.000108159660195821,90,32.967032967033,unconfirmed
57400,2.54243090212609e-07,0.000422667580974362,2.04974176280464e-06,0.00137554596757463,124902940,chr12,55645245,55649244,promoter_TSS2kb,"",LOC124902940,0.51469690351051,0.36989947547899,0.14479742803152,hyper,TRUE,50,11,0.00150559362126645,43,86,site_confirmed
19524,3.01059854020869e-07,0.000486022385623214,6.48561182586669e-06,0.00224838641629619,10992,chr11,66052331,66069308,gene_body,"",SF3B2,0.511109199036491,0.39929462912861,0.111814569907882,hyper,TRUE,32,1,0.017511248034519,8,25,unconfirmed
104598,3.18183436192133e-07,0.000495201744480471,5.5875758745769e-06,0.0021398952883432,,chr1,148149000,148152801,regbuild_promoter,ENSR00000013160,"",0.412445053540418,0.290571866167693,0.121873187372725,hyper,TRUE,78,0,0.0528233151183971,33,42.3076923076923,unconfirmed
16074,4.88986664911436e-07,0.000659499435465805,1.48708147960023e-06,0.00116964554913761,100129250,chr9,32551144,32568621,gene_body,"",TZMP1,0.428390628481123,0.309440251720978,0.118950376760145,hyper,TRUE,113,2,0.00817739667187074,43,38.0530973451327,unconfirmed
27285,5.51729914588263e-07,0.000662491263806185,1.73294007216698e-07,0.000452718215710252,63826,chr17,2303383,2325260,gene_body,"",SRR,0.40434065627762,0.302483511226546,0.101857145051074,hyper,TRUE,235,17,0.00406003765440666,103,43.8297872340426,unconfirmed
